migrating_file,caller_file,import_statement,update_required
backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,/root/agenticverz2.0/backend/app/worker/runner.py,from hoc.cus.controls.L6_drivers.threshold_driver import ...,REPOINTED
backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.controls.L6_drivers.threshold_driver import ...,REPOINTED
backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/activity/L6_drivers/__init__.py,from hoc.cus.controls.L6_drivers.threshold_driver import ...,REPOINTED
backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/activity/L5_engines/threshold_engine.py,from hoc.cus.controls.L6_drivers.threshold_driver import ...,REPOINTED
backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,/root/agenticverz2.0/backend/app/hoc/int/analytics/engines/runner.py,from hoc.cus.controls.L6_drivers.threshold_driver import ...,REPOINTED
backend/app/hoc/cus/account/L5_notifications/engines/channel_engine.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.integrations.L5_notifications.engines.channel_engine import ...,REPOINTED
backend/app/hoc/cus/account/L5_support/CRM/engines/audit_engine.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.logs.L5_support.CRM.engines.audit_engine import ...,REPOINTED
backend/app/hoc/cus/account/L5_support/CRM/engines/job_executor.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.general.L5_support.CRM.engines.job_executor import ...,REPOINTED
backend/app/hoc/cus/account/L6_drivers/worker_registry_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.integrations.L6_drivers.worker_registry_driver import ...,REPOINTED
backend/app/hoc/cus/account/L6_drivers/worker_registry_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/account/L6_drivers/__init__.py,from hoc.cus.integrations.L6_drivers.worker_registry_driver import ...,REPOINTED
backend/app/hoc/cus/analytics/L5_engines/alert_worker.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.general.L5_engines.alert_worker import ...,REPOINTED
backend/app/hoc/cus/analytics/L5_engines/cb_sync_wrapper.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.controls.L5_engines.cb_sync_wrapper import ...,REPOINTED
backend/app/hoc/cus/analytics/L5_engines/killswitch.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.controls.L5_engines.killswitch import ...,REPOINTED
backend/app/hoc/cus/analytics/L5_engines/manager.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.general.L5_engines.manager import ...,REPOINTED
backend/app/hoc/cus/analytics/L5_engines/s2_cost_smoothing.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.controls.L5_engines.s2_cost_smoothing import ...,REPOINTED
backend/app/hoc/cus/analytics/L6_drivers/alert_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.general.L6_drivers.alert_driver import ...,REPOINTED
backend/app/hoc/cus/analytics/L6_drivers/alert_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/analytics/L6_drivers/__init__.py,from hoc.cus.general.L6_drivers.alert_driver import ...,REPOINTED
backend/app/hoc/cus/analytics/L6_drivers/alert_driver.py,/root/agenticverz2.0/backend/app/hoc/cus/general/L5_engines/alert_worker.py,from hoc.cus.general.L6_drivers.alert_driver import ...,REPOINTED
backend/app/hoc/cus/analytics/L6_drivers/circuit_breaker.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.controls.L6_drivers.circuit_breaker import ...,REPOINTED
backend/app/hoc/cus/analytics/L6_drivers/circuit_breaker_async.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.controls.L6_drivers.circuit_breaker_async import ...,REPOINTED
backend/app/hoc/cus/incidents/L5_engines/channel_engine.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.integrations.L5_engines.channel_engine import ...,REPOINTED
backend/app/hoc/cus/incidents/L5_engines/degraded_mode_checker.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.general.L5_engines.degraded_mode_checker import ...,REPOINTED
backend/app/hoc/cus/incidents/L5_engines/evidence_report.py,/root/agenticverz2.0/backend/app/hoc/cus/_domain_map/MIGRATION_MANIFEST.csv,from hoc.cus.logs.L5_engines.evidence_report import ...,REPOINTED
backend/app/hoc/cus/incidents/L5_engines/evidence_report.py,/root/agenticverz2.0/backend/app/hoc/api/cus/policies/guard.py,from hoc.cus.logs.L5_engines.evidence_report import ...,REPOINTED
