migration_id,timestamp,action,source_path,target_path,callers_updated,status,error
M001,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,backend/app/hoc/cus/controls/L6_drivers/threshold_driver.py,0,SUCCESS,
M002,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L5_notifications/engines/channel_engine.py,backend/app/hoc/cus/integrations/L5_notifications/engines/channel_engine.py,0,SUCCESS,
M003,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L5_support/CRM/engines/audit_engine.py,backend/app/hoc/cus/logs/L5_support/CRM/engines/audit_engine.py,0,SUCCESS,
M004,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L5_support/CRM/engines/job_executor.py,backend/app/hoc/cus/general/L5_support/CRM/engines/job_executor.py,0,SUCCESS,
M005,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L6_drivers/worker_registry_driver.py,backend/app/hoc/cus/integrations/L6_drivers/worker_registry_driver.py,0,SUCCESS,
M006,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/alert_worker.py,backend/app/hoc/cus/general/L5_engines/alert_worker.py,0,SUCCESS,
M007,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/cb_sync_wrapper.py,backend/app/hoc/cus/controls/L5_engines/cb_sync_wrapper.py,0,SUCCESS,
M008,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/killswitch.py,backend/app/hoc/cus/controls/L5_engines/killswitch.py,0,SUCCESS,
M009,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/manager.py,backend/app/hoc/cus/general/L5_engines/manager.py,0,SUCCESS,
M010,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/s2_cost_smoothing.py,backend/app/hoc/cus/controls/L5_engines/s2_cost_smoothing.py,0,SUCCESS,
