candidate_id,duplicate_ids,types,max_similarity,canonical_location,delete_locations,recommendation
C001,"D529,D644,D645,D646,D911",BLOCK|CLASS|FUNCTION,100.0,general/email_verification.py,"account/L5_engines/email_verification.py,api_keys/L5_engines/email_verification.py",EXTRACT_TO_GENERAL
C002,"D648,D651",CLASS,83.3,general/notifications_facade.py,"account/L5_engines/notifications_facade.py,integrations/L3_adapters/notifications_base.py",REVIEW_MERGE
C003,"D530,D647,D649,D652,D654,D655,D656,D657,D923",BLOCK|CLASS|FUNCTION,100.0,general/notifications_facade.py,"account/L5_engines/notifications_facade.py,integrations/L5_engines/notifications_facade.py",EXTRACT_TO_GENERAL
C004,"D531,D532,D533,D534,D535,D536,D537,D658,D659,D660,D926",BLOCK|CLASS|FUNCTION,100.0,general/profile.py,"account/L5_engines/profile.py,policies/L5_engines/profile.py",EXTRACT_TO_GENERAL
C005,"D635,D636,D637,D638,D639,D640,D641,D642,D643,D936",BLOCK|CLASS,100.0,general/validator_engine.py,"account/L5_support/CRM/engines/validator_engine.py,policies/L5_engines/validator_engine.py",EXTRACT_TO_GENERAL
C006,D501,FUNCTION,100.0,general/user_write_driver.py,"account/L6_drivers/user_write_driver.py,analytics/L6_drivers/cost_write_driver.py",EXTRACT_TO_GENERAL
C007,D502,FUNCTION,100.0,general/L5_controls/drivers/guard_write_driver.py,account/L6_drivers/user_write_driver.py,DELETE_FROM_ACCOUNT
C008,D503,FUNCTION,100.0,general/L5_utils/time.py,account/L6_drivers/user_write_driver.py,DELETE_FROM_ACCOUNT
C009,D504,FUNCTION,100.0,general/user_write_driver.py,"account/L6_drivers/user_write_driver.py,incidents/L6_drivers/guard_write_driver.py",EXTRACT_TO_GENERAL
C010,"D538,D662,D931",BLOCK|CLASS|FUNCTION,100.0,general/L4_runtime/facades/run_governance_facade.py,activity/L5_engines/run_governance_facade.py,DELETE_FROM_ACTIVITY
C011,"D539,D663,D932",BLOCK|CLASS|FUNCTION,100.0,general/run_governance_facade.py,"activity/L5_engines/run_governance_facade.py,policies/L5_engines/run_governance_facade.py",EXTRACT_TO_GENERAL
C012,"D541,D542,D665,D666,D667,D668,D669,D670,D671,D672",CLASS|FUNCTION,100.0,general/threshold_engine.py,"activity/L5_engines/threshold_engine.py,controls/L6_drivers/llm_threshold_driver.py",EXTRACT_TO_GENERAL
C013,D505,FUNCTION,100.0,general/L5_controls/drivers/guard_write_driver.py,analytics/L6_drivers/cost_write_driver.py,DELETE_FROM_ANALYTICS
C014,D506,FUNCTION,100.0,general/L5_utils/time.py,analytics/L6_drivers/cost_write_driver.py,DELETE_FROM_ANALYTICS
C015,D507,FUNCTION,100.0,general/cost_write_driver.py,"analytics/L6_drivers/cost_write_driver.py,incidents/L6_drivers/guard_write_driver.py",EXTRACT_TO_GENERAL
C016,"D551,D675,D676,D677,D678,D679,D680,D902",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/alerts_facade.py,controls/L5_engines/alerts_facade.py,DELETE_FROM_CONTROLS
C017,"D673,D674",CLASS,100.0,general/circuit_breaker.py,"controls/L6_drivers/circuit_breaker.py,controls/L6_drivers/circuit_breaker_async.py",EXTRACT_TO_GENERAL
C018,"D543,D544",FUNCTION,94.3,general/llm_threshold_driver.py,"controls/L6_drivers/llm_threshold_driver.py,controls/L6_drivers/threshold_driver.py",REVIEW_MERGE
C019,D545,FUNCTION,100.0,general/L6_drivers/cross_domain.py,controls/L6_drivers/override_driver.py,DELETE_FROM_CONTROLS
C020,"D508,D546",FUNCTION,100.0,general/override_driver.py,"controls/L6_drivers/override_driver.py,policies/L5_engines/policy_limits_engine.py",EXTRACT_TO_GENERAL
C021,"D509,D547",FUNCTION,100.0,general/override_driver.py,"controls/L6_drivers/override_driver.py,policies/L5_engines/policy_rules_engine.py",EXTRACT_TO_GENERAL
C022,"D567,D568,D704,D705,D706,D907",BLOCK|CLASS|FUNCTION,100.0,general/L4_runtime/engines/constraint_checker.py,general/L5_engines/constraint_checker.py,DELETE_FROM_GENERAL
C023,"D707,D708,D709,D710,D711,D712,D713,D714,D715,D716,D914",BLOCK|CLASS,100.0,general/L4_runtime/engines/governance_orchestrator.py,policies/L5_engines/governance_orchestrator.py,DELETE_FROM_POLICIES
C024,"D569,D570,D717,D718,D719,D720,D924",BLOCK|CLASS|FUNCTION,100.0,general/L4_runtime/engines/phase_status_invariants.py,policies/L5_engines/phase_status_invariants.py,DELETE_FROM_POLICIES
C025,"D571,D721,D722,D723,D925",BLOCK|CLASS|FUNCTION,100.0,general/L4_runtime/engines/plan_generation_engine.py,policies/L5_engines/plan_generation_engine.py,DELETE_FROM_POLICIES
