dup_id,dup_type,domain_a,file_a,location_a,domain_b,file_b,location_b,similarity_pct,detail,recommendation
D001,EXACT_FILE,general,L5_engines/audit_durability.py,-,general,L5_engines/durability.py,-,100.0,Identical SHA-256: 585595f6ba06,DELETE_FROM_GENERAL
D002,EXACT_FILE,general,L5_lifecycle/engines/base.py,-,general,L5_engines/lifecycle_stages_base.py,-,100.0,Identical SHA-256: fd31a15f5f69,DELETE_FROM_GENERAL
D501,FUNCTION,account,L6_drivers/user_write_driver.py,utc_now():51-53,analytics,L6_drivers/cost_write_driver.py,utc_now():52-54,100.0,"Function 'utc_now' (0 params), 100.0% body match",EXTRACT_TO_GENERAL
D502,FUNCTION,account,L6_drivers/user_write_driver.py,utc_now():51-53,general,L5_controls/drivers/guard_write_driver.py,utc_now():64-66,100.0,"Function 'utc_now' (0 params), 100.0% body match",DELETE_FROM_ACCOUNT
D503,FUNCTION,account,L6_drivers/user_write_driver.py,utc_now():51-53,general,L5_utils/time.py,utc_now():23-25,100.0,"Function 'utc_now' (0 params), 100.0% body match",DELETE_FROM_ACCOUNT
D504,FUNCTION,account,L6_drivers/user_write_driver.py,utc_now():51-53,incidents,L6_drivers/guard_write_driver.py,utc_now():66-68,100.0,"Function 'utc_now' (0 params), 100.0% body match",EXTRACT_TO_GENERAL
D505,FUNCTION,analytics,L6_drivers/cost_write_driver.py,utc_now():52-54,general,L5_controls/drivers/guard_write_driver.py,utc_now():64-66,100.0,"Function 'utc_now' (0 params), 100.0% body match",DELETE_FROM_ANALYTICS
D506,FUNCTION,analytics,L6_drivers/cost_write_driver.py,utc_now():52-54,general,L5_utils/time.py,utc_now():23-25,100.0,"Function 'utc_now' (0 params), 100.0% body match",DELETE_FROM_ANALYTICS
D507,FUNCTION,analytics,L6_drivers/cost_write_driver.py,utc_now():52-54,incidents,L6_drivers/guard_write_driver.py,utc_now():66-68,100.0,"Function 'utc_now' (0 params), 100.0% body match",EXTRACT_TO_GENERAL
D508,FUNCTION,controls,L6_drivers/override_driver.py,utc_now():54-56,policies,L5_engines/policy_limits_engine.py,utc_now():78-80,100.0,"Function 'utc_now' (0 params), 100.0% body match",EXTRACT_TO_GENERAL
