file_path,current_domain,layer,header_quality,role_text,v1_inferred_domain,v1_confidence,v2_inferred_domain,v2_confidence,v2_override,needs_split,evidence,notes
account/L5_engines/accounts_facade.py,account,L5 — Domain Engine,FULL,Accounts domain facade - unified entry point for account management,account,HIGH,account,HIGH,NO,NO,phrase:tenant; phrase:membership; phrase:account,
account/L5_engines/email_verification.py,account,L5 — Domain Engine,FULL,Email OTP verification engine for customer onboarding,AMBIGUOUS,LOW,apis,MEDIUM,YES,NO,phrase:key; code:api_key,V2 OVERRIDE: AMBIGUOUS -> apis; MISPLACED in account
account/L5_engines/identity_resolver.py,account,L5 — Domain Engine,FULL,Identity resolution from various providers,integrations,MEDIUM,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: integrations -> account
account/L5_engines/notifications_facade.py,account,L5 — Domain Engine,FULL,Notifications Facade - Centralized access to notification operations,account,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs integrations=4,
account/L5_engines/profile.py,account,L5 — Domain Engine,FULL,Governance Profile configuration and validation,controls,LOW,controls,MEDIUM,NO,NO,phrase:feature flag,V2 confidence: LOW -> MEDIUM
account/L5_engines/tenant_engine.py,account,L5 — Domain Engine,FULL,Tenant domain engine - business logic for tenant operations,account,HIGH,account,HIGH,NO,NO,phrase:tenant; phrase:membership,
account/L5_engines/user_write_engine.py,account,L5 — Domain Engine,FULL,User write operations (L5 engine over L6 driver),AMBIGUOUS,LOW,account,MEDIUM,YES,NO,phrase:tenant,V2 OVERRIDE: AMBIGUOUS -> account
account/L5_notifications/engines/channel_engine.py,account,L4 — Domain Engine,FULL,Configurable notification channel management engine,controls,LOW,AMBIGUOUS,LOW,NO,YES,Close: incidents=7 vs activity=6,MISPLACED: currently in account
account/L5_support/CRM/engines/audit_engine.py,account,L8 — Catalyst / Verification,FULL,Audit Engine - verifies job execution against contract intent,logs,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: apis=10 vs activity=8,MISPLACED: currently in account
account/L5_support/CRM/engines/job_executor.py,account,L5 — Execution & Workers,PARTIAL,Job Executor - executes job steps and emits evidence,logs,LOW,AMBIGUOUS,LOW,NO,YES,Close: logs=5 vs apis=4,MISPLACED: currently in account
account/L5_support/CRM/engines/validator_engine.py,account,L4 — Domain Engine,FULL,"Issue Validator engine - pure analysis, advisory verdicts",AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: incidents=6 vs integrations=4,Needs manual review
account/L6_drivers/accounts_facade_driver.py,account,L6 — Domain Driver,FULL,Accounts domain facade driver - pure data access — L6 DOES NOT COMMIT,account,HIGH,account,HIGH,NO,NO,phrase:tenant; phrase:membership; phrase:billing; phrase:account,
account/L6_drivers/tenant_driver.py,account,L6 — Domain Driver,FULL,Tenant domain driver - pure data access for tenant operations — L6 DOES NOT COMMIT,account,HIGH,account,HIGH,NO,NO,phrase:tenant; phrase:membership,
account/L6_drivers/user_write_driver.py,account,L6 — Domain Driver,FULL,Data access for user write operations,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: integrations=6 vs account=4,Needs manual review
account/L6_drivers/worker_registry_driver.py,account,L6 — Domain Driver,FULL,"Worker discovery, status queries, capability registry driver",AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs activity=4,Needs manual review
activity/L5_engines/activity_enums.py,activity,L5 — Domain Engine,FULL,Canonical enums for activity domain - owned by engines,activity,LOW,activity,HIGH,NO,NO,phrase:run lifecycle; phrase:run,V2 confidence: LOW -> HIGH
activity/L5_engines/activity_facade.py,activity,L5 — Domain Engine,FULL,Activity Facade - Centralized access to activity domain operations,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=9 vs analytics=9,Needs manual review
activity/L5_engines/attention_ranking_engine.py,activity,L5 — Domain Engine,FULL,Attention ranking engine for activity signals,activity,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=4 vs incidents=3,
activity/L5_engines/cost_analysis_engine.py,activity,L5 — Domain Engine,FULL,Cost analysis engine for activity signals,analytics,MEDIUM,analytics,MEDIUM,NO,NO,phrase:cost analysis; code:cost_,MISPLACED: currently in activity
activity/L5_engines/pattern_detection_engine.py,activity,L5 — Domain Engine,FULL,Pattern detection engine for activity signals,activity,LOW,activity,MEDIUM,NO,NO,phrase:activity pattern,V2 confidence: LOW -> MEDIUM
activity/L5_engines/run_governance_facade.py,activity,L5 — Domain Engine,FULL,Run Governance Facade - Centralized access to governance operations for runs,activity,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: logs=7 vs policies=6,
activity/L5_engines/signal_feedback_engine.py,activity,L5 — Domain Engine,FULL,Signal feedback engine for acknowledging/suppressing signals,AMBIGUOUS,LOW,logs,LOW,NO,NO,code:ledger,Needs manual review
activity/L5_engines/signal_identity.py,activity,L5 — Domain Engine,FULL,Signal identity computation for deduplication,analytics,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: apis=4 vs analytics=3,MISPLACED: currently in activity
activity/L5_engines/threshold_engine.py,activity,L5 — Domain Engine,FULL,Threshold resolution and evaluation logic (decision engine),AMBIGUOUS,LOW,activity,HIGH,YES,NO,phrase:run state; phrase:llm run; phrase:worker run; phrase:run; code:run_,V2 OVERRIDE: AMBIGUOUS -> activity
activity/L6_drivers/activity_read_driver.py,activity,L6 — Data Access Driver,FULL,Activity read data access operations,activity,MEDIUM,activity,HIGH,NO,NO,phrase:run; code:run_; code:activity_,V2 confidence: MEDIUM -> HIGH
activity/L6_drivers/run_signal_service.py,activity,L6 — Domain Driver,FULL,RunSignalService - updates run risk levels based on threshold signals,activity,MEDIUM,activity,MEDIUM,NO,NO,phrase:run; code:run_,
activity/L6_drivers/threshold_driver.py,activity,L6 — Domain Driver,FULL,Database operations for threshold limits,controls,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs account=6,MISPLACED: currently in activity
analytics/L3_adapters/alert_delivery.py,analytics,L3 — Adapter,FULL,HTTP delivery to Alertmanager,AMBIGUOUS,LOW,integrations,MEDIUM,YES,NO,phrase:adapter,V2 OVERRIDE: AMBIGUOUS -> integrations; MISPLACED in analytics
analytics/L3_adapters/v2_adapter.py,analytics,L3 — Boundary Adapter,FULL,Cost simulation adapter (translation only),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: analytics=6 vs controls=4,Needs manual review
