domain,audience,l2_files,l2_routes,l4_handler,l4_bridge,l5_engines,l6_drivers,wiring_registry,wiring_bridge,wiring_direct,wiring_none,db_violations,chain_status
account,cus,1,5,account_handler.py,account_bridge.py,7,3,0,0,0,1,3,SEE_MD
activity,cus,1,19,activity_handler.py,activity_bridge.py,8,4,1,0,0,0,21,SEE_MD
analytics,cus,4,25,analytics_sandbox_handler.py|analytics_validation_handler.py|analytics_config_handler.py|analytics_handler.py|analytics_prediction_handler.py|analytics_snapshot_handler.py|analytics_metrics_handler.py,analytics_bridge.py,20,11,1,0,0,3,17,SEE_MD
api_keys,cus,2,11,api_keys_handler.py,api_keys_bridge.py,2,2,0,0,0,2,0,SEE_MD
apis,cus,0,0,MISSING,MISSING,0,1,0,0,0,0,0,SEE_MD
controls,cus,0,0,controls_handler.py,controls_bridge.py,4,9,0,0,0,0,0,SEE_MD
incidents,cus,2,22,incidents_handler.py,incidents_bridge.py,16,12,1,0,0,1,25,SEE_MD
integrations,cus,5,20,integrations_handler.py,integrations_bridge.py,16,5,2,0,0,3,17,SEE_MD
logs,cus,4,44,logs_handler.py,logs_bridge.py,14,13,0,1,1,2,12,SEE_MD
overview,cus,1,5,overview_handler.py,overview_bridge.py,1,1,1,0,0,0,7,SEE_MD
policies,cus,39,350,policies_handler.py,policies_bridge.py,60,19,20,1,4,14,213,SEE_MD
