l2_file,domain,audience,prefix,route_count,wiring_type,l4_operations,db_violations_count,notes
app/hoc/api/cus/account/memory_pins.py,cus/account,cus,/api/v1/memory,5,NONE,,3,db_violations=3
app/hoc/api/cus/activity/activity.py,cus/activity,cus,/api/v1/activity,19,REGISTRY,activity.query|activity.signal_fingerprint|activity.signal_feedback,21,db_violations=21
app/hoc/api/cus/agent/authz_status.py,cus/agent,cus,/int/authz,5,NONE,,0,
app/hoc/api/cus/agent/discovery.py,cus/agent,cus,/api/v1/discovery,3,NONE,,2,db_violations=2
app/hoc/api/cus/agent/onboarding.py,cus/agent,cus,/api/v1/onboarding,3,NONE,,0,
app/hoc/api/cus/agent/platform.py,cus/agent,cus,/platform,5,NONE,,7,db_violations=7
app/hoc/api/cus/analytics/costsim.py,cus/analytics,cus,/costsim,11,REGISTRY,analytics.costsim.divergence|analytics.canary|analytics.costsim.status|analytics.costsim.simulate|controls.circuit_breaker|analytics.canary_reports|analytics.costsim.datasets,13,db_violations=13
app/hoc/api/cus/analytics/feedback.py,cus/analytics,cus,/api/v1/feedback,3,NONE,,2,db_violations=2
app/hoc/api/cus/analytics/predictions.py,cus/analytics,cus,/api/v1/predictions,4,NONE,,2,db_violations=2
app/hoc/api/cus/analytics/scenarios.py,cus/analytics,cus,/scenarios,7,NONE,,0,
app/hoc/api/cus/api_keys/auth_helpers.py,cus/api_keys,cus,UNKNOWN,1,NONE,,0,
app/hoc/api/cus/api_keys/embedding.py,cus/api_keys,cus,/embedding,10,NONE,,0,
app/hoc/api/cus/general/agents.py,cus/general,cus,/api/v1,49,NONE,,6,db_violations=6
app/hoc/api/cus/general/debug_auth.py,cus/general,cus,/debug/auth,3,NONE,,1,db_violations=1
app/hoc/api/cus/general/health.py,cus/general,cus,UNKNOWN,5,NONE,,0,
app/hoc/api/cus/general/legacy_routes.py,cus/general,cus,UNKNOWN,23,NONE,,0,
app/hoc/api/cus/general/sdk.py,cus/general,cus,/sdk,2,NONE,,0,
app/hoc/api/cus/incidents/cost_guard.py,cus/incidents,cus,/guard/costs,3,NONE,,3,db_violations=3
app/hoc/api/cus/incidents/incidents.py,cus/incidents,cus,/api/v1/incidents,19,REGISTRY,incidents.query|incidents.export|logs.pdf,22,db_violations=22
app/hoc/api/cus/integrations/cus_telemetry.py,cus/integrations,cus,/telemetry,5,REGISTRY,activity.telemetry,0,
app/hoc/api/cus/integrations/mcp_servers.py,cus/integrations,cus,/api/v1/integrations/mcp-servers,9,REGISTRY,integrations.mcp_servers,11,db_violations=11
app/hoc/api/cus/integrations/protection_dependencies.py,cus/integrations,cus,UNKNOWN,2,NONE,,0,
app/hoc/api/cus/integrations/session_context.py,cus/integrations,cus,/api/v1/session,1,NONE,,0,
app/hoc/api/cus/integrations/v1_proxy.py,cus/integrations,cus,/v1,3,NONE,,6,db_violations=6
app/hoc/api/cus/logs/cost_intelligence.py,cus/logs,cus,/cost,14,BRIDGE,,3,db_violations=3
app/hoc/api/cus/logs/guard_logs.py,cus/logs,cus,/guard/logs,3,NONE,,0,
app/hoc/api/cus/logs/tenants.py,cus/logs,cus,/api/v1,14,DIRECT,,3,L6_import; db_violations=3
app/hoc/api/cus/logs/traces.py,cus/logs,cus,/traces,13,NONE,,6,db_violations=6
app/hoc/api/cus/ops/cost_ops.py,cus/ops,cus,/ops/cost,4,NONE,,3,db_violations=3
app/hoc/api/cus/overview/overview.py,cus/overview,cus,/api/v1/overview,5,REGISTRY,overview.query,7,db_violations=7
app/hoc/api/cus/policies/M25_integrations.py,cus/policies,cus,/integration,17,NONE,,20,db_violations=20
app/hoc/api/cus/policies/alerts.py,cus/policies,cus,/alerts,13,NONE,,0,
app/hoc/api/cus/policies/analytics.py,cus/policies,cus,/analytics,8,REGISTRY,analytics.query,10,db_violations=10
app/hoc/api/cus/account/aos_accounts.py,cus/account,cus,/api/v1/accounts,17,REGISTRY,account.query,19,db_violations=19
app/hoc/api/cus/api_keys/aos_api_key.py,cus/api_keys,cus,/api/v1/api-keys,2,REGISTRY,api_keys.query,4,db_violations=4
app/hoc/api/cus/integrations/aos_cus_integrations.py,cus/integrations,cus,/api/v1/integrations,10,REGISTRY,integrations.query,0,
app/hoc/api/cus/policies/billing_dependencies.py,cus/policies,cus,UNKNOWN,2,BRIDGE,,0,
app/hoc/api/cus/policies/compliance.py,cus/policies,cus,/compliance,6,NONE,,0,
app/hoc/api/cus/policies/connectors.py,cus/policies,cus,/connectors,6,REGISTRY,integrations.connectors,0,
app/hoc/api/cus/policies/controls.py,cus/policies,cus,/controls,6,REGISTRY,controls.query,0,
app/hoc/api/cus/policies/cus_enforcement.py,cus/policies,cus,/enforcement,3,REGISTRY,policies.enforcement,0,
app/hoc/api/cus/policies/customer_visibility.py,cus/policies,cus,/customer,4,NONE,,4,db_violations=4
app/hoc/api/cus/policies/datasources.py,cus/policies,cus,/datasources,9,REGISTRY,integrations.datasources,0,
