Slot_ID,Panel_ID,Required_Input,Input_Source,Missing_Input_Effect_State,Missing_Input_Effect_Authority,Missing_Input_Effect_Actionable,Stale_Input_Effect_State,Stale_Input_Effect_Authority,Contradictory_Signal_Rule,Expected_Negative_Authority,Determinism_Test_ID
OVR-SUM-HL-O1,OVR-SUM-HL,active_run_count,/activity/summary,missing,indeterminate,no,partial,affirmative,N/A,N/A,DT-OVR-HL-O1-001
OVR-SUM-HL-O1,OVR-SUM-HL,completed_run_count_window,/activity/summary,partial,affirmative,no,partial,affirmative,N/A,N/A,DT-OVR-HL-O1-002
OVR-SUM-HL-O1,OVR-SUM-HL,near_threshold_run_count,/activity/summary,partial,affirmative,no,partial,affirmative,"IF near_threshold_run_count > 0 AND at_risk_runs = 0 → contradictory_signal_count += 1",N/A,DT-OVR-HL-O1-003
OVR-SUM-HL-O1,OVR-SUM-HL,last_observation_timestamp,/activity/summary,partial,indeterminate,no,partial,indeterminate,N/A,N/A,DT-OVR-HL-O1-004
OVR-SUM-HL-O2,OVR-SUM-HL,active_incident_count,/incidents/summary,missing,indeterminate,no,partial,affirmative,"IF active_incident_count > 0 AND attention_required = false → contradictory_signal_count += 1, authority = indeterminate",NO_INCIDENT,DT-OVR-HL-O2-001
OVR-SUM-HL-O2,OVR-SUM-HL,near_threshold_count,/activity/summary,partial,affirmative,no,partial,affirmative,N/A,NO_NEAR_THRESHOLD,DT-OVR-HL-O2-002
OVR-SUM-HL-O2,OVR-SUM-HL,prevented_violation_count,/incidents/summary,partial,affirmative,no,partial,affirmative,N/A,N/A,DT-OVR-HL-O2-003
OVR-SUM-HL-O2,OVR-SUM-HL,max_severity_level,/incidents/summary,partial,affirmative,no,partial,affirmative,N/A,N/A,DT-OVR-HL-O2-004
OVR-SUM-HL-O3,OVR-SUM-HL,historical_failure_ratios,/analytics,missing,indeterminate,no,partial,indeterminate,N/A,N/A,DT-OVR-HL-O3-001
OVR-SUM-HL-O3,OVR-SUM-HL,escalation_latency_baseline,/analytics,missing,indeterminate,no,partial,indeterminate,N/A,N/A,DT-OVR-HL-O3-002
