Domain,Subdomain,Topic,Topic ID,Panel ID,Panel Name,Order,Ranking Dimension,Nav Required,Filtering,Selection Mode,Read,Download,Write,Write Action,Activate,Activate Action,Action Layer,Confirmation Required,Control Set (Explicit),Visible by Default,Replay,Notes,row_uid,action_intent,candidate_capability_id,candidate_operator,candidate_adapter,cap_risk_flags,cap_confidence,cap_l2_1_aligned,mode_match,scope_match,bulk_match,authority_match,replay_match,latency_risk,binding_status,binding_notes,crosswalk_adapter,crosswalk_operator,crosswalk_layer_route,crosswalk_side_effects
Overview,SYSTEM_HEALTH,CURRENT_STATUS,OVERVIEW.SYSTEM_HEALTH.CURRENT_STATUS,OVW-SH-CS-O1,System Status Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot only; PIN-348: NO Customer API,7386e7805265,READ,CAP-OVW-HEALTH,get_platform_health,(direct SQL),ADAPTER BYPASSED; Founder-only,HIGH,NO,YES,YES,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,CURRENT_STATUS,OVERVIEW.SYSTEM_HEALTH.CURRENT_STATUS,OVW-SH-CS-O1,System Status Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot only; PIN-348: NO Customer API,7386e7805265,READ,CAP-OVW-CAPS,get_capabilities_eligibility,(direct SQL),ADAPTER BYPASSED; HARDCODED MAP,HIGH,NO,YES,YES,YES,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,CURRENT_STATUS,OVERVIEW.SYSTEM_HEALTH.CURRENT_STATUS,OVW-SH-CS-O1,System Status Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot only; PIN-348: NO Customer API,7386e7805265,READ,CAP-OVW-DOMAIN,get_domain_health,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,CURRENT_STATUS,OVERVIEW.SYSTEM_HEALTH.CURRENT_STATUS,OVW-SH-CS-O1,System Status Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot only; PIN-348: NO Customer API,7386e7805265,READ,CAP-OVW-CAP-DETAIL,get_capability_health,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,CURRENT_STATUS,OVERVIEW.SYSTEM_HEALTH.CURRENT_STATUS,OVW-SH-CS-O1,System Status Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot only; PIN-348: NO Customer API,7386e7805265,READ,CAP-OVW-ELIGIBILITY,check_capability_eligibility,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O1,Health Metrics Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot; PIN-348: NO Customer API,6447c98afb34,READ,CAP-OVW-HEALTH,get_platform_health,(direct SQL),ADAPTER BYPASSED; Founder-only,HIGH,NO,YES,YES,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O1,Health Metrics Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot; PIN-348: NO Customer API,6447c98afb34,READ,CAP-OVW-CAPS,get_capabilities_eligibility,(direct SQL),ADAPTER BYPASSED; HARDCODED MAP,HIGH,NO,YES,YES,YES,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O1,Health Metrics Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot; PIN-348: NO Customer API,6447c98afb34,READ,CAP-OVW-DOMAIN,get_domain_health,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O1,Health Metrics Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot; PIN-348: NO Customer API,6447c98afb34,READ,CAP-OVW-CAP-DETAIL,get_capability_health,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O1,Health Metrics Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,O1 snapshot; PIN-348: NO Customer API,6447c98afb34,READ,CAP-OVW-ELIGIBILITY,check_capability_eligibility,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O2,Health Metrics List,O2,metric_type,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,O2 list view; PIN-348: NO Customer API,9ce83d0a0d72,READ,CAP-OVW-HEALTH,get_platform_health,(direct SQL),ADAPTER BYPASSED; Founder-only,HIGH,NO,YES,YES,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O2,Health Metrics List,O2,metric_type,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,O2 list view; PIN-348: NO Customer API,9ce83d0a0d72,READ,CAP-OVW-CAPS,get_capabilities_eligibility,(direct SQL),ADAPTER BYPASSED; HARDCODED MAP,HIGH,NO,YES,YES,YES,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O2,Health Metrics List,O2,metric_type,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,O2 list view; PIN-348: NO Customer API,9ce83d0a0d72,READ,CAP-OVW-DOMAIN,get_domain_health,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O2,Health Metrics List,O2,metric_type,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,O2 list view; PIN-348: NO Customer API,9ce83d0a0d72,READ,CAP-OVW-CAP-DETAIL,get_capability_health,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Overview,SYSTEM_HEALTH,HEALTH_METRICS,OVERVIEW.SYSTEM_HEALTH.HEALTH_METRICS,OVW-SH-HM-O2,Health Metrics List,O2,metric_type,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,O2 list view; PIN-348: NO Customer API,9ce83d0a0d72,READ,CAP-OVW-ELIGIBILITY,check_capability_eligibility,(direct SQL),ADAPTER BYPASSED,HIGH,NO,YES,PARTIAL,NO,YES,YES,LOW,QUESTIONABLE,Risk flag: ADAPTER BYPASSED; Not L2.1 aligned,,,,
Activity,EXECUTIONS,ACTIVE_RUNS,ACTIVITY.EXECUTIONS.ACTIVE_RUNS,ACT-EX-AR-O1,Active Runs Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Real-time count of running executions,e7c4fae6900b,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,ACTIVE_RUNS,ACTIVITY.EXECUTIONS.ACTIVE_RUNS,ACT-EX-AR-O1,Active Runs Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Real-time count of running executions,e7c4fae6900b,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,ACTIVE_RUNS,ACTIVITY.EXECUTIONS.ACTIVE_RUNS,ACT-EX-AR-O2,Active Runs List,O2,started_at,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,Live list of active runs,db40af6ee617,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,ACTIVE_RUNS,ACTIVITY.EXECUTIONS.ACTIVE_RUNS,ACT-EX-AR-O2,Active Runs List,O2,started_at,NO,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",YES,YES,Live list of active runs,db40af6ee617,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O1,Completed Runs Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Summary of completed executions,ab643e35fa3d,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O1,Completed Runs Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Summary of completed executions,ab643e35fa3d,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O2,Completed Runs List,O2,completed_at,NO,YES,MULTI,YES,YES,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_MULTI,DOWNLOAD,NAVIGATE]",YES,YES,Paginated list with bulk download,8b58eae248b3,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O2,Completed Runs List,O2,completed_at,NO,YES,MULTI,YES,YES,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_MULTI,DOWNLOAD,NAVIGATE]",YES,YES,Paginated list with bulk download,8b58eae248b3,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O2,Completed Runs List,O2,completed_at,NO,YES,MULTI,YES,YES,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_MULTI,DOWNLOAD,NAVIGATE]",YES,YES,Paginated list with bulk download,8b58eae248b3,DOWNLOAD,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O2,Completed Runs List,O2,completed_at,NO,YES,MULTI,YES,YES,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_MULTI,DOWNLOAD,NAVIGATE]",YES,YES,Paginated list with bulk download,8b58eae248b3,DOWNLOAD,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O3,Completed Run Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Detail view requires navigation from O2,54e8bfd1a91b,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O3,Completed Run Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Detail view requires navigation from O2,54e8bfd1a91b,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O3,Completed Run Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Detail view requires navigation from O2,54e8bfd1a91b,DOWNLOAD,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,COMPLETED_RUNS,ACTIVITY.EXECUTIONS.COMPLETED_RUNS,ACT-EX-CR-O3,Completed Run Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Detail view requires navigation from O2,54e8bfd1a91b,DOWNLOAD,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O1,Run Details Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Run status at a glance,cd54d8ac33ef,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O1,Run Details Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Run status at a glance,cd54d8ac33ef,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O2,Run Steps List,O2,step_order,YES,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",NO,YES,List of execution steps,2998221c4895,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O2,Run Steps List,O2,step_order,YES,YES,SINGLE,YES,NO,NO,,NO,,L2_1,NO,"[FILTER,SORT,SELECT_SINGLE,NAVIGATE]",NO,YES,List of execution steps,2998221c4895,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
