domain,method,path,operation_id,summary,tags,auth_required,auth_schemes,request_schema,response_schema
account,GET,/hoc/api/cus/account/users/list,list_account_users_public,,cus-account-public,unknown,,,AccountUsersListPublicResponse
accounts,GET,/hoc/api/cus/accounts/billing,get_billing_summary,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,BillingSummaryResponse
accounts,GET,/hoc/api/cus/accounts/billing/invoices,get_billing_invoices,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,InvoiceListResponse
accounts,GET,/hoc/api/cus/accounts/invitations,list_invitations,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,InvitationListResponse
accounts,POST,/hoc/api/cus/accounts/invitations/{invitation_id}/accept,accept_invitation,Accept an invitation to join a tenant.,accounts,unknown,,,
accounts,GET,/hoc/api/cus/accounts/profile,get_profile,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,ProfileResponse
accounts,PUT,/hoc/api/cus/accounts/profile,update_profile,WRITE customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,ProfileUpdateResponse
accounts,GET,/hoc/api/cus/accounts/projects,list_projects,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,ProjectsListResponse
accounts,POST,/hoc/api/cus/accounts/projects,create_project,Create a new project. Delegates to L4 AccountsFacade.,accounts,unknown,,,ProjectDetailResponse
accounts,GET,/hoc/api/cus/accounts/projects/{project_id},get_project_detail,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,ProjectDetailResponse
accounts,GET,/hoc/api/cus/accounts/support,get_support_contact,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,SupportContactResponse
accounts,GET,/hoc/api/cus/accounts/support/tickets,list_support_tickets,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,SupportTicketListResponse
accounts,POST,/hoc/api/cus/accounts/support/tickets,create_support_ticket,WRITE customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,SupportTicketResponse
accounts,GET,/hoc/api/cus/accounts/tenant/users,list_tenant_users,List users in the current tenant.,accounts,unknown,,,TenantUserListResponse
accounts,GET,/hoc/api/cus/accounts/users,list_users,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,UsersListResponse
accounts,POST,/hoc/api/cus/accounts/users/invite,invite_user,WRITE customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,InvitationResponse
accounts,GET,/hoc/api/cus/accounts/users/{user_id},get_user_detail,READ-ONLY customer facade - delegates to L4 AccountsFacade.,accounts,unknown,,,UserDetailResponse
accounts,DELETE,/hoc/api/cus/accounts/users/{user_id},remove_user,Remove a user from the tenant.,accounts,unknown,,,
accounts,PUT,/hoc/api/cus/accounts/users/{user_id}/role,update_user_role,Update a user's role in the tenant.,accounts,unknown,,,TenantUserResponse
activity,GET,/hoc/api/cus/activity/attention-queue,get_attention_queue,Get attention queue (SIG-O5). READ-ONLY from v_runs_o2.,activity,unknown,,,AttentionQueueResponse
activity,GET,/hoc/api/cus/activity/completed,list_completed_runs,List COMPLETED runs with policy context.,activity,unknown,,,CompletedRunsResponse
