Panel_ID,Domain,Subdomain,Topic,Slot,Class,State,Question,Capability
ACC-BL-IN-O1,ACCOUNT,BILLING,INVOICES,1,evidence,EMPTY,Invoice list & status,
ACC-BL-IN-O2,ACCOUNT,BILLING,INVOICES,2,execution,EMPTY,Download / export invoices,
ACC-BL-US-O1,ACCOUNT,BILLING,USAGE,1,interpretation,EMPTY,"Usage summary (tokens, runs, spend)",
ACC-BL-US-O2,ACCOUNT,BILLING,USAGE,2,interpretation,EMPTY,Cost trend & burn rate,
ACC-PR-OV-O1,ACCOUNT,PROFILE,OVERVIEW,1,interpretation,EMPTY,"Account identity summary (org name, plan, region)",
ACC-PR-OV-O2,ACCOUNT,PROFILE,OVERVIEW,2,interpretation,EMPTY,Primary owner & admin contacts,
ACC-TC-CP-O1,ACCOUNT,TRUST_COMPLIANCE,COMPLIANCE,1,interpretation,EMPTY,"Compliance status (SOC2, ISO, etc.)",
ACC-TC-CP-O2,ACCOUNT,TRUST_COMPLIANCE,COMPLIANCE,2,execution,EMPTY,Evidence export (for auditors / CTO),
ACC-UA-MB-O1,ACCOUNT,USERS_ACCESS,MEMBERS,1,evidence,EMPTY,User list with roles,
ACC-UA-MB-O2,ACCOUNT,USERS_ACCESS,MEMBERS,2,execution,EMPTY,Invite / deactivate users,
ACC-UA-RL-O1,ACCOUNT,USERS_ACCESS,ROLES,1,evidence,EMPTY,Role definitions & permissions,
ACT-LLM-COMP-O1,ACTIVITY,LLM_RUNS,COMPLETED,1,interpretation,DRAFT,Show how many LLM runs have completed in the selected window. What it shows: - Total completed runs count What it explicitly does NOT show: - No success/failure split - No duration - No cost,activity.completed_runs
ACT-LLM-COMP-O2,ACTIVITY,LLM_RUNS,COMPLETED,2,interpretation,DRAFT,Surface how many completed runs finished successfully. What it shows: - Count of successful runs What it explicitly does NOT show: - No quality scoring - No downstream impact - No policy attribution,activity.summary
ACT-LLM-COMP-O3,ACTIVITY,LLM_RUNS,COMPLETED,3,interpretation,EMPTY,Expose completed runs that ended in failure. What it shows: - Count of failed runs What it explicitly does NOT show: - No root cause - No retry controls - No blame attribution,
ACT-LLM-COMP-O4,ACTIVITY,LLM_RUNS,COMPLETED,4,interpretation,DRAFT,Highlight runs that completed but came close to limits. What it shows: - Count of completed runs that were near: - Cost limits - Time limits - Token limits What it explicitly does NOT show: - No violations - No enforcement - No tuning actions,activity.customer_activity
ACT-LLM-COMP-O5,ACTIVITY,LLM_RUNS,COMPLETED,5,interpretation,DRAFT,Show runs that ended intentionally before completion. What it shows: - Count of aborted or cancelled runs What it explicitly does NOT show: - No initiator identity - No reason codes - No recovery options,activity.runtime_traces
ACT-LLM-LIVE-O1,ACTIVITY,LLM_RUNS,LIVE,1,interpretation,DRAFT,"Show how many LLM runs are currently in progress. What it shows: - Total number of live LLM runs What it explicitly does NOT show: - No breakdown by model, agent, user, or cost - No status reasons - No controls",activity.live_runs
ACT-LLM-LIVE-O2,ACTIVITY,LLM_RUNS,LIVE,2,interpretation,EMPTY,"Surface live runs exceeding expected execution time. What it shows: - Count of live runs exceeding time threshold (e.g., > X minutes) What it explicitly does NOT show: - No root cause - No cost data - No termination control",
ACT-LLM-LIVE-O3,ACTIVITY,LLM_RUNS,LIVE,3,interpretation,DRAFT,Highlight live runs that are approaching failure or limits. What it shows: - Count of live runs flagged as near-threshold or unstable What it explicitly does NOT show: - No policy actions - No manual override - No mitigation controls,activity.jobs_list
ACT-LLM-LIVE-O4,ACTIVITY,LLM_RUNS,LIVE,4,interpretation,DRAFT,"Indicate whether telemetry, logs, and traces are flowing for live runs. What it shows: - Percentage or status of live runs emitting evidence What it explicitly does NOT show: - No log contents - No replay - No export",activity.worker_runs
ACT-LLM-LIVE-O5,ACTIVITY,LLM_RUNS,LIVE,5,interpretation,DRAFT,"Provide a coarse distribution of live runs by major dimension. What it shows: - Distribution by LLM provider, agent, or trigger type (exact dimension decided later) What it explicitly does NOT show: - No drill-down - No per-run detail - No controls",activity.health_status
ACT-LLM-SIG-O1,ACTIVITY,LLM_RUNS,SIGNALS,1,interpretation,DRAFT,Surface what is happening right now that matters — the primary attention surface. What it shows: - Critical failures - Critical successes - Active risk conditions - Only currently active or very recent signals What it explicitly does NOT show: - No historical signals - No controls or actions - No policy execution,activity.signals
ACT-LLM-SIG-O2,ACTIVITY,LLM_RUNS,SIGNALS,2,interpretation,DRAFT,"Surface runs approaching failure, policy, or cost limits (threshold proximity). What it shows: - Token limits nearing breach - Cost ceilings approaching - Timeouts nearing SLA breach - Frequency/rate-limit pressure What it explicitly does NOT show: - No actions or mitigations - No policy controls - No historical trends",activity.predictions_list
ACT-LLM-SIG-O3,ACTIVITY,LLM_RUNS,SIGNALS,3,interpretation,DRAFT,Surface temporal signals — behavior patterns over time indicating instability. What it shows: - Frequent retries - Latency spikes - Repeated partial failures - Flapping success/failure patterns What it explicitly does NOT show: - No single-event failures (patterns only) - No root cause analysis - No remediation controls,activity.predictions_summary
ACT-LLM-SIG-O4,ACTIVITY,LLM_RUNS,SIGNALS,4,interpretation,DRAFT,Surface economic deviations — where money is being lost or saved unexpectedly. What it shows: - Cost overruns - Cost savers (first-class signals) - Efficiency anomalies - Unexpected cost spikes or drops What it explicitly does NOT show: - No budget controls - No policy enforcement - No historical cost trends,activity.discovery_list
ACT-LLM-SIG-O5,ACTIVITY,LLM_RUNS,SIGNALS,5,interpretation,DRAFT,"Synthesize attention priority — what to look at first and why. What it shows: - Prioritized attention queue combining: - Severity (O1) - Proximity (O2) - Pattern persistence (O3) - Economic impact (O4) - Grouping by LLM, Agent, or Human - Cross-cutting issues What it explicitly does NOT show: - No decisions or actions - No policy execution - No drill-down details",activity.discovery_stats
ANA-CST-USG-O1,ANALYTICS,COST,USAGE,1,interpretation,EMPTY,"Show limit policy coverage and blast radius — how many policies and how wide. What it shows: - Total active limit policies - Coverage by scope: org-wide, by LLM, by agent, by human executor - Blast radius distribution: narrow, medium, broad - Breakdowns: cost limits, token limits, rate limits, time limits What it explicitly does NOT show: - No configuration controls - No threshold editing - No policy creation",
ANA-CST-USG-O2,ANALYTICS,COST,USAGE,2,interpretation,EMPTY,"Show configured limits vs actual usage — how close are we running to limits. What it shows: - Per limit: configured threshold, actual observed usage (p50/p95/p99) - Headroom remaining (%) - Slices: by LLM, by agent, by human, by policy - Chronic near-limit behavior, over-conservative limits What it explicitly does NOT show: - No threshold editing - No policy changes",
ANA-CST-USG-O3,ANALYTICS,COST,USAGE,3,interpretation,EMPTY,"Show violations, prevented runs, and overrides — what limits actually stopped. What it shows: - Total violation attempts, prevented executions - Allowed-but-flagged executions, explicit human overrides - Categorization: cost overrun, token exhaustion, timeouts, rate bursts - Override analysis: who overrode, which policy, outcome after override What it explicitly does NOT show: - No override controls - No policy editing",
ANA-CST-USG-O4,ANALYTICS,COST,USAGE,4,interpretation,EMPTY,"Show savings and risk reduction attribution — what policies saved. What it shows: - Cost saved, tokens saved, time saved, incidents avoided - Attribution: by policy, by LLM, by agent, by human, by time window - Risk lens: high-savings/low-friction vs low-savings/high-friction What it explicitly does NOT show: - No policy controls - No threshold editing",
