Layer,File,HTTP Method,Full Path,Function Name,Path Parameters (Input),Query Parameters (Input),Request Body Model (Input),Response Model (Output),Tags,Description
L2 (Product APIs),activity.py,GET,/activity/runs,list_activity_runs,,,Optional[str],ActivityResponse,Activity,List runs for Activity domain.
L2 (Product APIs),activity.py,GET,/activity/runs/{run_id},get_run_detail,run_id,,,RunSummary,Activity,Get details of a specific run.
L2 (Product APIs),activity.py,GET,/activity/summary,get_activity_summary,,,,ActivitySummaryResponse,Activity,Activity summary for HIL v1 interpretation panel.
L2 (Product APIs),main.py,GET,/admin/failed-runs,list_failed_runs,,limit,,,,List recent failed runs for review.
L2 (Product APIs),main.py,POST,/admin/rerun,rerun_failed_run,,,,RerunResponse,,REMOVED: This endpoint has been disabled to enforce PB-S1 truth guarantees.
L2 (Product APIs),main.py,POST,/admin/retry,retry_failed_run,,,,RetryResponse,,Retry a failed worker run by creating a NEW execution (PB-S1 compliant).
L2 (Product APIs),main.py,POST,/agents,create_agent,,,,CreateAgentResponse,,Create a new agent.
L2 (Product APIs),main.py,GET,/agents/{agent_id},get_agent,agent_id,,,,,Get agent by ID.
L2 (Product APIs),main.py,POST,/agents/{agent_id}/goals,post_goal,agent_id,,BackgroundTasks,GoalResponse,,Submit a goal to an agent.
L2 (Product APIs),main.py,GET,/agents/{agent_id}/provenance,get_provenance,agent_id,limit,,List[ProvenanceResponse],,Get provenance records for an agent.
L2 (Product APIs),main.py,GET,/agents/{agent_id}/provenance/{prov_id},get_provenance_by_id,"agent_id, prov_id",,,ProvenanceResponse,,Get a specific provenance record.
L2 (Product APIs),main.py,GET,/agents/{agent_id}/recall,recall_memory,agent_id,,,List[MemoryResponse],,Recall memories for an agent.
L2 (Product APIs),main.py,GET,/agents/{agent_id}/runs,list_runs,agent_id,limit,,List[RunResponse],,List runs for an agent.
L2 (Product APIs),main.py,GET,/agents/{agent_id}/runs/{run_id},get_run,"agent_id, run_id",,,RunResponse,,Get run status and results.
L2,agents.py,GET,/api/v1/agents,list_agents,,,Optional[str],,agents,List agent instances.
L2,agents.py,POST,/api/v1/agents/register,register_agent,,,,,agents,Register an agent instance.
L2,agents.py,GET,/api/v1/agents/{agent_id}/activity/blockers,get_agent_activity_blockers,agent_id,,,ActivityBlockersResponse,agents,M16: Get current blockers for an agent.
L2,agents.py,GET,/api/v1/agents/{agent_id}/activity/costs,get_agent_activity_costs,agent_id,,,ActivityCostsResponse,agents,M16: Get worker cost and risk metrics for an agent.
L2,agents.py,GET,/api/v1/agents/{agent_id}/activity/retries,get_agent_activity_retries,agent_id,limit,,ActivityRetriesResponse,agents,M16: Get retry log for an agent.
L2,agents.py,GET,/api/v1/agents/{agent_id}/activity/spending,get_agent_activity_spending,agent_id,,,SpendingDataResponse,agents,M16: Get spending data for budget burn chart.
L2,agents.py,GET,/api/v1/agents/{agent_id}/evolution,get_agent_evolution,agent_id,limit,,EvolutionReportResponse,agents,M18: Get agent evolution history and current state.
L2,agents.py,POST,/api/v1/agents/{agent_id}/health/check,check_agent_health,agent_id,,,HealthCheckResponse,agents,M16: Run comprehensive health check for an agent.
L2,agents.py,GET,/api/v1/agents/{agent_id}/reputation,get_agent_reputation,agent_id,,,,agents,M18: Get agent reputation details.
L2,agents.py,GET,/api/v1/agents/{agent_id}/sla,get_agent_sla,agent_id,,,,agents,M18: Get agent SLA score details.
L2,agents.py,GET,/api/v1/agents/{agent_id}/strategy,get_agent_strategy,agent_id,,,,agents,M17: Get agent's Strategy Cascade.
L2,agents.py,POST,/api/v1/agents/{agent_id}/strategy/update,update_agent_strategy,agent_id,,RoutingConfigUpdate,,agents,M17: Hot-swap agent's routing configuration.
L2,agents.py,GET,/api/v1/agents/{agent_id}/successors,get_agent_successors,agent_id,,,,agents,M18: Get successor mapping for agent failover.
L2,agents.py,DELETE,/api/v1/agents/{instance_id},deregister_agent,instance_id,,,,agents,Deregister an agent instance.
L2,agents.py,GET,/api/v1/agents/{instance_id},get_agent,instance_id,,,,agents,Get agent instance details.
L2,agents.py,POST,/api/v1/agents/{instance_id}/heartbeat,agent_heartbeat,instance_id,,,,agents,Update agent heartbeat.
L2,agents.py,GET,/api/v1/agents/{instance_id}/messages,get_messages,instance_id,limit,Optional[str],,agents,Get messages for an agent.
L2,agents.py,POST,/api/v1/agents/{instance_id}/messages,send_message,instance_id,,,,agents,Send a message to an agent.
L2,agents.py,POST,/api/v1/agents/{instance_id}/messages/{message_id}/read,mark_message_read,"instance_id, message_id",,,,agents,Mark message as read.
L2,tenants.py,GET,/api/v1/api-keys,list_api_keys,,,,List[APIKeyResponse],Tenants & API Keys,List all API keys for the current tenant.
L2,tenants.py,POST,/api/v1/api-keys,create_api_key,,,,APIKeyCreatedResponse,Tenants & API Keys,Create a new API key for the current tenant.
L2,tenants.py,DELETE,/api/v1/api-keys/{key_id},revoke_api_key,key_id,,,,Tenants & API Keys,Revoke an API key.
L2,agents.py,GET,/api/v1/blackboard/{key},get_blackboard,key,,,,agents,Read value from blackboard.
L2,agents.py,PUT,/api/v1/blackboard/{key},put_blackboard,key,,,,agents,Write value to blackboard.
L2,agents.py,POST,/api/v1/blackboard/{key}/increment,increment_blackboard,key,,,,agents,Atomically increment a counter.
L2,agents.py,POST,/api/v1/blackboard/{key}/lock,lock_blackboard,key,,,,agents,Lock operation on blackboard.
L2 (Product APIs),customer_activity.py,GET,/api/v1/customer/activity,list_activities,,"limit, offset",Optional[str],CustomerActivityListResponse,customer-activity,List activities for the current tenant.
L2 (Product APIs),customer_activity.py,GET,/api/v1/customer/activity/{run_id},get_activity,run_id,,,CustomerActivityDetail,customer-activity,Get activity detail for a specific run.
L2,discovery.py,GET,/api/v1/discovery/,list_signals,,limit,Optional[str],,discovery,List discovery signals from the ledger.
L2,discovery.py,GET,/api/v1/discovery/stats,signal_stats,,,,,discovery,Get summary statistics of discovery signals.
L2,feedback.py,GET,/api/v1/feedback/stats/summary,get_feedback_stats,,tenant_id,,,"feedback, pb-s3, read-only",Get feedback statistics summary (PB-S3).
L2,feedback.py,GET,/api/v1/feedback/{feedback_id},get_feedback,feedback_id,,,FeedbackDetailResponse,"feedback, pb-s3, read-only",Get detailed feedback record by ID (PB-S3).
L2,agents.py,POST,/api/v1/invocations/respond,respond_to_invocation,,,,,agents,Respond to an agent invocation.
L2,agents.py,POST,/api/v1/jobs,create_job,,,,JobResponse,agents,Create a new parallel job.
L2,agents.py,POST,/api/v1/jobs/simulate,simulate_job,,,,SimulateJobResponse,agents,Simulate job execution before committing resources.
L2,agents.py,GET,/api/v1/jobs/{job_id},get_job,job_id,,,JobResponse,agents,Get job status by ID.
L2,agents.py,POST,/api/v1/jobs/{job_id}/cancel,cancel_job,job_id,,,,agents,Cancel a running job.
L2,agents.py,POST,/api/v1/jobs/{job_id}/claim,claim_item,job_id,,,ClaimItemResponse,agents,Worker claims next available item.
L2,agents.py,POST,/api/v1/jobs/{job_id}/items/{item_id}/complete,complete_item,"job_id, item_id",,,,agents,Mark item as completed with output.
L2,agents.py,POST,/api/v1/jobs/{job_id}/items/{item_id}/fail,fail_item,"job_id, item_id",,,,agents,Mark item as failed.
L2,memory_pins.py,GET,/api/v1/memory/pins,list_pins,,"tenant_id, limit, offset",Optional[str],MemoryPinListResponse,memory,List memory pins for a tenant.
L2,memory_pins.py,POST,/api/v1/memory/pins,create_or_upsert_pin,,,MemoryPinCreate,MemoryPinResponse,memory,Create or upsert a memory pin.
L2,memory_pins.py,POST,/api/v1/memory/pins/cleanup,cleanup_expired_pins,,tenant_id,,,memory,Clean up expired memory pins.
L2,memory_pins.py,DELETE,/api/v1/memory/pins/{key},delete_pin,key,tenant_id,,MemoryPinDeleteResponse,memory,Delete a memory pin by key.
