domain,method,path,operation_id,summary,tags,auth_required,auth_schemes,request_schema,response_schema
alerts,GET,/hoc/api/cus/alerts/history,list_history,List alert history (GAP-111).,Alerts,unknown,,,"Dict[str, Any]"
alerts,GET,/hoc/api/cus/alerts/history/{event_id},get_event,Get a specific alert event.,Alerts,unknown,,,"Dict[str, Any]"
alerts,POST,/hoc/api/cus/alerts/history/{event_id}/acknowledge,acknowledge_event,Acknowledge an alert event.,Alerts,unknown,,,"Dict[str, Any]"
alerts,POST,/hoc/api/cus/alerts/history/{event_id}/resolve,resolve_event,Resolve an alert event.,Alerts,unknown,,,"Dict[str, Any]"
alerts,GET,/hoc/api/cus/alerts/routes,list_routes,List alert routes.,Alerts,unknown,,,"Dict[str, Any]"
alerts,POST,/hoc/api/cus/alerts/routes,create_route,Create an alert route (GAP-124).,Alerts,unknown,,,"Dict[str, Any]"
alerts,DELETE,/hoc/api/cus/alerts/routes/{route_id},delete_route,Delete an alert route.,Alerts,unknown,,,"Dict[str, Any]"
alerts,GET,/hoc/api/cus/alerts/routes/{route_id},get_route,Get a specific alert route.,Alerts,unknown,,,"Dict[str, Any]"
alerts,GET,/hoc/api/cus/alerts/rules,list_rules,List alert rules.,Alerts,unknown,,,"Dict[str, Any]"
alerts,POST,/hoc/api/cus/alerts/rules,create_rule,Create an alert rule (GAP-110).,Alerts,unknown,,,"Dict[str, Any]"
alerts,DELETE,/hoc/api/cus/alerts/rules/{rule_id},delete_rule,Delete an alert rule.,Alerts,unknown,,,"Dict[str, Any]"
alerts,GET,/hoc/api/cus/alerts/rules/{rule_id},get_rule,Get a specific alert rule.,Alerts,unknown,,,"Dict[str, Any]"
alerts,PUT,/hoc/api/cus/alerts/rules/{rule_id},update_rule,Update an alert rule.,Alerts,unknown,,,"Dict[str, Any]"
compliance,GET,/hoc/api/cus/compliance/reports,list_reports,List compliance reports.,Compliance,unknown,,,"Dict[str, Any]"
compliance,GET,/hoc/api/cus/compliance/reports/{report_id},get_report,Get a specific compliance report.,Compliance,unknown,,,"Dict[str, Any]"
compliance,GET,/hoc/api/cus/compliance/rules,list_rules,List compliance rules.,Compliance,unknown,,,"Dict[str, Any]"
compliance,GET,/hoc/api/cus/compliance/rules/{rule_id},get_rule,Get a specific compliance rule.,Compliance,unknown,,,"Dict[str, Any]"
compliance,GET,/hoc/api/cus/compliance/status,get_compliance_status,Get overall compliance status.,Compliance,unknown,,,"Dict[str, Any]"
compliance,POST,/hoc/api/cus/compliance/verify,verify_compliance,Run compliance verification (GAP-103).,Compliance,unknown,,,"Dict[str, Any]"
customer,POST,/hoc/api/cus/customer/acknowledge,acknowledge_declaration,Acknowledge PRE-RUN declaration.,customer-visibility,unknown,,,AcknowledgementResponse
customer,GET,/hoc/api/cus/customer/declaration/{declaration_id},get_declaration,Retrieve a previously created PRE-RUN declaration.,customer-visibility,unknown,,,PreRunDeclaration
customer,GET,/hoc/api/cus/customer/outcome/{run_id},get_outcome_reconciliation,Get outcome reconciliation after execution.,customer-visibility,unknown,,,OutcomeReconciliation
customer,POST,/hoc/api/cus/customer/pre-run,get_pre_run_declaration,Get PRE-RUN declaration before execution.,customer-visibility,unknown,,,PreRunDeclaration
detection,GET,/hoc/api/cus/detection/anomalies,list_anomalies,List anomalies for the tenant.,Detection,unknown,,,"Dict[str, Any]"
detection,GET,/hoc/api/cus/detection/anomalies/{anomaly_id},get_anomaly,Get a specific anomaly by ID.,Detection,unknown,,,"Dict[str, Any]"
detection,POST,/hoc/api/cus/detection/anomalies/{anomaly_id}/acknowledge,acknowledge_anomaly,Acknowledge an anomaly.,Detection,unknown,,,"Dict[str, Any]"
detection,POST,/hoc/api/cus/detection/anomalies/{anomaly_id}/resolve,resolve_anomaly,Resolve an anomaly.,Detection,unknown,,,"Dict[str, Any]"
detection,POST,/hoc/api/cus/detection/run,run_detection,Run anomaly detection on demand (GAP-102).,Detection,unknown,,,"Dict[str, Any]"
detection,GET,/hoc/api/cus/detection/status,get_detection_status,Get detection engine status.,Detection,unknown,,,"Dict[str, Any]"
enforcement,POST,/hoc/api/cus/enforcement/batch,batch_enforcement_check,Check enforcement for multiple requests at once.,Customer Enforcement,unknown,,,
enforcement,POST,/hoc/api/cus/enforcement/check,check_enforcement,Check enforcement policy before making an LLM call.,Customer Enforcement,unknown,,,
enforcement,GET,/hoc/api/cus/enforcement/status,get_enforcement_status,Get current enforcement status for an integration.,Customer Enforcement,unknown,,,
evidence,GET,/hoc/api/cus/evidence/chains,list_chains,List evidence chains.,Evidence,unknown,,,"Dict[str, Any]"
evidence,POST,/hoc/api/cus/evidence/chains,create_chain,Create an evidence chain (GAP-104).,Evidence,unknown,,,"Dict[str, Any]"
evidence,GET,/hoc/api/cus/evidence/chains/{chain_id},get_chain,Get a specific evidence chain.,Evidence,unknown,,,"Dict[str, Any]"
evidence,POST,/hoc/api/cus/evidence/chains/{chain_id}/evidence,add_evidence,Add evidence to a chain.,Evidence,unknown,,,"Dict[str, Any]"
evidence,GET,/hoc/api/cus/evidence/chains/{chain_id}/verify,verify_chain,Verify chain integrity.,Evidence,unknown,,,"Dict[str, Any]"
evidence,POST,/hoc/api/cus/evidence/export,create_export,Create evidence export (GAP-105).,Evidence,unknown,,,"Dict[str, Any]"
evidence,GET,/hoc/api/cus/evidence/exports,list_exports,List evidence exports.,Evidence,unknown,,,"Dict[str, Any]"
evidence,GET,/hoc/api/cus/evidence/exports/{export_id},get_export,Get export status.,Evidence,unknown,,,"Dict[str, Any]"
governance,GET,/hoc/api/cus/governance/boot-status,get_boot_status,Get SPINE component health status (GAP-095).,Governance,unknown,,,"Dict[str, Any]"
governance,GET,/hoc/api/cus/governance/conflicts,list_conflicts,List policy conflicts.,Governance,unknown,,,"Dict[str, Any]"
governance,POST,/hoc/api/cus/governance/kill-switch,toggle_kill_switch,Toggle the governance kill switch (GAP-090).,Governance,unknown,,,"Dict[str, Any]"
governance,POST,/hoc/api/cus/governance/mode,set_governance_mode,Set governance mode (GAP-091).,Governance,unknown,,,"Dict[str, Any]"
governance,POST,/hoc/api/cus/governance/resolve-conflict,resolve_conflict,Manually resolve a policy conflict (GAP-092).,Governance,unknown,,,"Dict[str, Any]"
governance,GET,/hoc/api/cus/governance/state,get_governance_state,Get current governance state.,Governance,unknown,,,"Dict[str, Any]"
guard,GET,/hoc/api/cus/guard/costs/explained,get_cost_explained,GET /guard/costs/explained,Guard Cost Visibility,unknown,,,CustomerCostExplainedDTO
guard,GET,/hoc/api/cus/guard/costs/incidents,get_cost_incidents,GET /guard/costs/incidents,Guard Cost Visibility,unknown,,,CustomerCostIncidentListDTO
guard,GET,/hoc/api/cus/guard/costs/summary,get_cost_summary,GET /guard/costs/summary,Guard Cost Visibility,unknown,,,CustomerCostSummaryDTO
guard,GET,/hoc/api/cus/guard/incidents,list_incidents,"List incidents - ""What did you stop for me?""",Guard Console,unknown,,,
guard,POST,/hoc/api/cus/guard/incidents/search,search_incidents,Search incidents with filters - M23 component map spec.,Guard Console,unknown,,,IncidentSearchResponse
guard,GET,/hoc/api/cus/guard/incidents/{incident_id},get_incident_detail,Get incident detail with timeline.,Guard Console,unknown,,,IncidentDetailResponse
guard,POST,/hoc/api/cus/guard/incidents/{incident_id}/acknowledge,acknowledge_incident,Acknowledge an incident.,Guard Console,unknown,,,
guard,POST,/hoc/api/cus/guard/incidents/{incident_id}/export,export_incident_evidence,Export incident as a legal-grade PDF evidence report.,Guard Console,unknown,,,
guard,GET,/hoc/api/cus/guard/incidents/{incident_id}/narrative,get_customer_incident_narrative,GET /guard/incidents/{id}/narrative,Guard Console,unknown,,,CustomerIncidentNarrativeDTO
guard,POST,/hoc/api/cus/guard/incidents/{incident_id}/resolve,resolve_incident,Resolve an incident.,Guard Console,unknown,,,
guard,GET,/hoc/api/cus/guard/incidents/{incident_id}/timeline,get_decision_timeline,Get decision timeline - M23 component map spec.,Guard Console,unknown,,,DecisionTimelineResponse
guard,GET,/hoc/api/cus/guard/keys,list_api_keys,List API keys with status.,Guard Console,unknown,,,
guard,POST,/hoc/api/cus/guard/keys/{key_id}/freeze,freeze_api_key,Freeze an API key.,Guard Console,unknown,,,
guard,POST,/hoc/api/cus/guard/keys/{key_id}/unfreeze,unfreeze_api_key,Unfreeze an API key.,Guard Console,unknown,,,
guard,POST,/hoc/api/cus/guard/killswitch/activate,activate_killswitch,Stop all traffic - Emergency kill switch.,Guard Console,unknown,,,
guard,POST,/hoc/api/cus/guard/killswitch/deactivate,deactivate_killswitch,Resume traffic - Deactivate kill switch.,Guard Console,unknown,,,
guard,GET,/hoc/api/cus/guard/logs,list_logs,List execution logs for customer.,Guard Console - Logs,unknown,,,CustomerLogListResponse
guard,GET,/hoc/api/cus/guard/logs/export,export_logs,Export logs for customer.,Guard Console - Logs,unknown,,,
guard,GET,/hoc/api/cus/guard/logs/{log_id},get_log,Get log detail with execution steps.,Guard Console - Logs,unknown,,,CustomerLogDetail
guard,POST,/hoc/api/cus/guard/onboarding/verify,onboarding_verify,REAL safety verification for onboarding.,Guard Console,unknown,,,OnboardingVerifyResponse
guard,GET,/hoc/api/cus/guard/policies,get_policy_constraints,Get policy constraints for customer.,Guard Console - Policies,unknown,,,CustomerPolicyConstraints
guard,GET,/hoc/api/cus/guard/policies/guardrails/{guardrail_id},get_guardrail_detail,Get guardrail detail.,Guard Console - Policies,unknown,,,CustomerGuardrail
guard,POST,/hoc/api/cus/guard/replay/{call_id},replay_call,Replay a call - Trust builder.,Guard Console,unknown,,,ReplayResult
guard,GET,/hoc/api/cus/guard/settings,get_settings,Get read-only settings.,Guard Console,unknown,,,TenantSettings
guard,GET,/hoc/api/cus/guard/snapshot/today,get_today_snapshot,"Get today's metrics - ""What did it cost/save me?""",Guard Console,unknown,,,TodaySnapshot
guard,GET,/hoc/api/cus/guard/status,get_guard_status,"Get protection status - ""Am I safe right now?""",Guard Console,unknown,,,GuardStatus
integration,GET,/hoc/api/cus/integration/checkpoints,list_pending_checkpoints,List all pending human checkpoints for the tenant.,integration,unknown,,,list[CheckpointResponse]
integration,GET,/hoc/api/cus/integration/checkpoints/{checkpoint_id},get_checkpoint,Get details of a specific checkpoint.,integration,unknown,,,CheckpointResponse
integration,POST,/hoc/api/cus/integration/checkpoints/{checkpoint_id}/resolve,resolve_checkpoint,Resolve a pending checkpoint.,integration,unknown,,,
integration,GET,/hoc/api/cus/integration/graduation,get_graduation_status,Get M25 graduation status (HARDENED).,integration,unknown,,,HardenedGraduationResponse
integration,POST,/hoc/api/cus/integration/graduation/re-evaluate,trigger_graduation_re_evaluation,Trigger a re-evaluation of graduation status.,integration,unknown,,,
integration,POST,/hoc/api/cus/integration/graduation/record-view,record_timeline_view,Record a REAL timeline view for Gate 3 graduation.,integration,unknown,,,
integration,POST,/hoc/api/cus/integration/graduation/simulate/prevention,simulate_prevention,Simulate a prevention event for demo/testing purposes.,integration,unknown,,,
integration,POST,/hoc/api/cus/integration/graduation/simulate/regret,simulate_regret,Simulate a regret event for demo/testing purposes.,integration,unknown,,,
integration,POST,/hoc/api/cus/integration/graduation/simulate/timeline-view,simulate_timeline_view,Simulate viewing a prevention timeline for Gate 3.,integration,unknown,,,
integration,GET,/hoc/api/cus/integration/loop/{incident_id},get_loop_status,Get current loop status for an incident.,integration,unknown,,,LoopStatusResponse
integration,GET,/hoc/api/cus/integration/loop/{incident_id}/narrative,get_loop_narrative,Get narrative artifacts for an incident loop.,integration,unknown,,,
integration,POST,/hoc/api/cus/integration/loop/{incident_id}/retry,retry_loop_stage,Retry a failed loop stage.,integration,unknown,,,LoopStatusResponse
integration,POST,/hoc/api/cus/integration/loop/{incident_id}/revert,revert_loop,Revert all changes made by a loop.,integration,unknown,,,
integration,GET,/hoc/api/cus/integration/loop/{incident_id}/stages,get_loop_stages,Get detailed stage information for a loop.,integration,unknown,,,list[StageDetail]
integration,GET,/hoc/api/cus/integration/loop/{incident_id}/stream,stream_loop_status,SSE endpoint for live loop status updates.,integration,unknown,,,
