kind,name,value
meta,file,006_add_archival_partitioning.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/006_add_archival_partitioning.py
meta,revision,006_add_archival_partitioning
meta,down_revision,005_add_approval_requests
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,execute,10
sql_keyword,CREATE INDEX,4
sql_keyword,CREATE TABLE,1
sql_keyword,DELETE FROM,1
sql_keyword,DROP TABLE,1
sql_keyword,DROP VIEW,1
sql_keyword,INSERT INTO,1
sql_keyword,UPDATE,2
