kind,name,value
meta,file,023_m10_archive_partitioning.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/023_m10_archive_partitioning.py
meta,revision,023_m10_archive_partitioning
meta,down_revision,022_m10_production_hardening
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,execute,9
sql_keyword,ALTER TABLE,2
sql_keyword,CREATE INDEX,3
sql_keyword,CREATE TABLE,5
sql_keyword,DROP TABLE,5
sql_keyword,INSERT INTO,4
sql_keyword,UPDATE,1
