kind,name,value
meta,file,044_m25_graduation_hardening.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/044_m25_graduation_hardening.py
meta,revision,044_m25_hardening
meta,down_revision,043_m25_learning
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,4
op_call,create_index,4
op_call,create_table,3
op_call,drop_column,4
op_call,drop_table,3
op_call,execute,8
sql_keyword,ALTER TABLE,4
sql_keyword,INSERT INTO,1
sql_keyword,UPDATE,3
