kind,name,value
meta,file,062_c5_learning_suggestions.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/062_c5_learning_suggestions.py
meta,revision,062_c5_learning_suggestions
meta,down_revision,061_c2_prediction_hardening
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_index,3
op_call,create_table,1
op_call,drop_index,3
op_call,drop_table,1
op_call,execute,5
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,1
