kind,name,value
meta,file,063_c4_coordination_audit.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/063_c4_coordination_audit.py
meta,revision,063_c4_coordination_audit
meta,down_revision,062_c5_learning_suggestions
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_index,5
op_call,create_table,1
op_call,drop_index,5
op_call,drop_table,1
op_call,execute,4
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,2
