kind,name,value
meta,file,067_phase_s_error_persistence.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/067_phase_s_error_persistence.py
meta,revision,067_phase_s_error_persistence
meta,down_revision,066_interpretation_ownership
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_index,5
op_call,create_table,1
op_call,drop_index,5
op_call,drop_table,1
op_call,execute,5
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,5
