kind,name,value
meta,file,072_create_gcl_daily_anchors.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/072_create_gcl_daily_anchors.py
meta,revision,072_create_gcl_daily_anchors
meta,down_revision,071_create_signal_feedback
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_index,5
op_call,create_table,2
op_call,drop_index,5
op_call,drop_table,2
op_call,execute,8
sql_keyword,CREATE TRIGGER,2
sql_keyword,DROP TRIGGER,2
sql_keyword,UPDATE,5
