kind,name,value
meta,file,075_consolidate_incidents_table.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/075_consolidate_incidents_table.py
meta,revision,075_consolidate_incidents
meta,down_revision,074_create_sdsr_incidents
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,15
op_call,create_index,7
op_call,create_table,1
op_call,drop_column,15
op_call,drop_index,3
op_call,drop_table,1
op_call,execute,7
sql_keyword,DELETE FROM,1
sql_keyword,DROP INDEX,4
sql_keyword,INSERT INTO,2
sql_keyword,UPDATE,2
