kind,name,value
meta,file,087_incidents_lifecycle_repair.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/087_incidents_lifecycle_repair.py
meta,revision,087_incidents_lifecycle_repair
meta,down_revision,086_runs_o2_schema
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,3
op_call,alter_column,2
op_call,create_check_constraint,2
op_call,create_foreign_key,1
op_call,create_index,4
op_call,drop_column,3
op_call,drop_constraint,3
op_call,drop_index,4
op_call,execute,3
sql_keyword,UPDATE,3
