kind,name,value
meta,file,091_decisions_and_audit_ledger.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/091_decisions_and_audit_ledger.py
meta,revision,091_decisions_audit_ledger
meta,down_revision,090_limit_integrity
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_check_constraint,5
op_call,create_index,8
op_call,create_table,2
op_call,drop_constraint,5
op_call,drop_index,8
op_call,drop_table,2
op_call,execute,6
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP INDEX,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,2
