kind,name,value
meta,file,092_rollback_decisions_table.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/092_rollback_decisions_table.py
meta,revision,092_rollback_decisions
meta,down_revision,091_decisions_audit_ledger
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_check_constraint,4
op_call,create_index,4
op_call,create_table,1
op_call,drop_constraint,4
op_call,drop_index,4
op_call,drop_table,1
op_call,execute,2
sql_keyword,DROP INDEX,1
