kind,name,value
meta,file,093_llm_run_records_and_system_records.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/093_llm_run_records_and_system_records.py
meta,revision,093_llm_run_records_system_records
meta,down_revision,092_rollback_decisions
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_check_constraint,6
op_call,create_index,7
op_call,create_table,2
op_call,drop_constraint,6
op_call,drop_index,7
op_call,drop_table,2
op_call,execute,8
sql_keyword,CREATE TRIGGER,2
sql_keyword,DROP TRIGGER,2
sql_keyword,UPDATE,4
