kind,name,value
meta,file,104_attribution_schema_hardening.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/104_attribution_schema_hardening.py
meta,revision,104_attribution_schema_hardening
meta,down_revision,ce967f70c95d
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,3
op_call,alter_column,2
op_call,drop_column,3
op_call,execute,11
sql_keyword,CREATE INDEX,2
sql_keyword,DROP INDEX,1
sql_keyword,DROP VIEW,2
sql_keyword,INSERT INTO,1
sql_keyword,UPDATE,3
