kind,name,value
meta,file,109_logs_domain_v2.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/109_logs_domain_v2.py
meta,revision,109_logs_domain_v2
meta,down_revision,108_limit_breaches_evaluation_type
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,1
op_call,create_check_constraint,4
op_call,create_index,1
op_call,create_table,1
op_call,drop_column,1
op_call,drop_index,1
op_call,drop_table,1
op_call,execute,8
sql_keyword,CREATE INDEX,4
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,2
sql_keyword,UPDATE,2
