kind,name,value
meta,file,110_governance_fields.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/110_governance_fields.py
meta,revision,110_governance_fields
meta,down_revision,109_logs_domain_v2
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,8
op_call,create_check_constraint,1
op_call,create_index,3
op_call,create_table,1
op_call,drop_column,8
op_call,drop_constraint,1
op_call,drop_index,3
op_call,drop_table,1
op_call,execute,4
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,2
sql_keyword,UPDATE,2
