kind,name,value
meta,file,113_add_retrieval_evidence.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/113_add_retrieval_evidence.py
meta,revision,113_add_retrieval_evidence
meta,down_revision,112_runs_observability_status
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_index,3
op_call,create_table,1
op_call,drop_index,3
op_call,drop_table,1
op_call,execute,5
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,2
