kind,name,value
meta,file,119_w2_mcp_servers.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/119_w2_mcp_servers.py
meta,revision,119_w2_mcp_servers
meta,down_revision,118_w2_knowledge_planes
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_check_constraint,7
op_call,create_index,9
op_call,create_table,3
op_call,drop_constraint,7
op_call,drop_index,9
op_call,drop_table,3
op_call,execute,7
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,2
