kind,name,value
meta,file,ce967f70c95d_invitations_and_support_tickets.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/ce967f70c95d_invitations_and_support_tickets.py
meta,revision,
meta,down_revision,
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,add_column,1
op_call,create_index,6
op_call,create_table,2
op_call,drop_column,1
op_call,drop_index,6
op_call,drop_table,2
warning,missing_revision,True
warning,missing_down_revision,True
