domain,file,symbol,layer,role,calls_internal,called_by_internal,delegation_depth,decision_count,statement_count,has_branching,has_persistence,has_error_handling,superset_of,chain
account,accounts_facade,AccountsFacade.__init__,L5,WRAPPER,accounts_facade_driver:get_accounts_facade_driver,email_verification:EmailVerificationError.__init__ | profile:GovernanceConfigError.__init__ | tenant_engine:QuotaExceededError.__init__,1,0,1,no,no,no,,accounts_facade.AccountsFacade.__init__ → accounts_facade_driver.get_accounts_facade_driver
account,accounts_facade,AccountsFacade.accept_invitation,L5,CANONICAL,accounts_facade_driver:AccountsFacadeDriver.fetch_invitation_by_id_and_token | accounts_facade_driver:AccountsFacadeDriver.fetch_membership | accounts_facade_driver:AccountsFacadeDriver.fetch_user_by_email | accounts_facade_driver:AccountsFacadeDriver.insert_membership | accounts_facade_driver:AccountsFacadeDriver.insert_user | accounts_facade_driver:AccountsFacadeDriver.update_invitation_accepted | accounts_facade_driver:AccountsFacadeDriver.update_invitation_expired | tenant_driver:TenantDriver.insert_membership,,1,4,12,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_invitation_by_id_and_token | accounts_facade_driver:AccountsFacadeDriver.fetch_membership | accounts_facade_driver:AccountsFacadeDriver.fetch_user_by_email | accounts_facade_driver:AccountsFacadeDriver.insert_membership | accounts_facade_driver:AccountsFacadeDriver.insert_user | accounts_facade_driver:AccountsFacadeDriver.update_invitation_accepted | accounts_facade_driver:AccountsFacadeDriver.update_invitation_expired | tenant_driver:TenantDriver.insert_membership,accounts_facade.AccountsFacade.accept_invitation → accounts_facade_driver.AccountsFacadeDriver.fetch_invitation_by_id_and_token → accounts_facade_driver.AccountsFacadeDriver.fetch_membership → accounts_facade_driver.AccountsFacadeDriver.fetch_user_by_email → ...+5
account,accounts_facade,AccountsFacade.create_support_ticket,L5,WRAPPER,accounts_facade_driver:AccountsFacadeDriver.insert_support_ticket,,1,0,2,no,no,no,,accounts_facade.AccountsFacade.create_support_ticket → accounts_facade_driver.AccountsFacadeDriver.insert_support_ticket
account,accounts_facade,AccountsFacade.get_billing_invoices,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_detail,,1,2,4,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_detail,accounts_facade.AccountsFacade.get_billing_invoices → accounts_facade_driver.AccountsFacadeDriver.fetch_tenant_detail
account,accounts_facade,AccountsFacade.get_billing_summary,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.fetch_subscription | accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_detail,,1,2,4,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_subscription | accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_detail,accounts_facade.AccountsFacade.get_billing_summary → accounts_facade_driver.AccountsFacadeDriver.fetch_subscription → accounts_facade_driver.AccountsFacadeDriver.fetch_tenant_detail
account,accounts_facade,AccountsFacade.get_profile,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.fetch_profile,,1,0,2,no,no,no,,accounts_facade.AccountsFacade.get_profile → accounts_facade_driver.AccountsFacadeDriver.fetch_profile
account,accounts_facade,AccountsFacade.get_project_detail,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_detail,,1,2,4,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_detail,accounts_facade.AccountsFacade.get_project_detail → accounts_facade_driver.AccountsFacadeDriver.fetch_tenant_detail
account,accounts_facade,AccountsFacade.get_support_contact,L5,WRAPPER,,,0,0,1,no,no,no,,accounts_facade.AccountsFacade.get_support_contact
account,accounts_facade,AccountsFacade.get_user_detail,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.fetch_user_detail,,1,1,3,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_user_detail,accounts_facade.AccountsFacade.get_user_detail → accounts_facade_driver.AccountsFacadeDriver.fetch_user_detail
account,accounts_facade,AccountsFacade.invite_user,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.fetch_invitation_by_email | accounts_facade_driver:AccountsFacadeDriver.fetch_membership | accounts_facade_driver:AccountsFacadeDriver.insert_invitation,,1,2,10,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_invitation_by_email | accounts_facade_driver:AccountsFacadeDriver.fetch_membership | accounts_facade_driver:AccountsFacadeDriver.insert_invitation,accounts_facade.AccountsFacade.invite_user → accounts_facade_driver.AccountsFacadeDriver.fetch_invitation_by_email → accounts_facade_driver.AccountsFacadeDriver.fetch_membership → accounts_facade_driver.AccountsFacadeDriver.insert_invitation
account,accounts_facade,AccountsFacade.list_invitations,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.fetch_invitations | accounts_facade_driver:AccountsFacadeDriver.fetch_membership,,1,1,4,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_invitations | accounts_facade_driver:AccountsFacadeDriver.fetch_membership,accounts_facade.AccountsFacade.list_invitations → accounts_facade_driver.AccountsFacadeDriver.fetch_invitations → accounts_facade_driver.AccountsFacadeDriver.fetch_membership
account,accounts_facade,AccountsFacade.list_projects,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.count_tenants | accounts_facade_driver:AccountsFacadeDriver.fetch_tenants,,1,1,6,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.count_tenants | accounts_facade_driver:AccountsFacadeDriver.fetch_tenants,accounts_facade.AccountsFacade.list_projects → accounts_facade_driver.AccountsFacadeDriver.count_tenants → accounts_facade_driver.AccountsFacadeDriver.fetch_tenants
account,accounts_facade,AccountsFacade.list_support_tickets,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.fetch_support_tickets,,1,0,2,no,no,no,,accounts_facade.AccountsFacade.list_support_tickets → accounts_facade_driver.AccountsFacadeDriver.fetch_support_tickets
account,accounts_facade,AccountsFacade.list_tenant_users,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.fetch_tenant_memberships,,1,0,2,no,no,no,,accounts_facade.AccountsFacade.list_tenant_users → accounts_facade_driver.AccountsFacadeDriver.fetch_tenant_memberships
account,accounts_facade,AccountsFacade.list_users,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.count_users | accounts_facade_driver:AccountsFacadeDriver.fetch_users,,1,2,7,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.count_users | accounts_facade_driver:AccountsFacadeDriver.fetch_users,accounts_facade.AccountsFacade.list_users → accounts_facade_driver.AccountsFacadeDriver.count_users → accounts_facade_driver.AccountsFacadeDriver.fetch_users
account,accounts_facade,AccountsFacade.remove_user,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.delete_membership | accounts_facade_driver:AccountsFacadeDriver.fetch_membership,,1,4,8,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.delete_membership | accounts_facade_driver:AccountsFacadeDriver.fetch_membership,accounts_facade.AccountsFacade.remove_user → accounts_facade_driver.AccountsFacadeDriver.delete_membership → accounts_facade_driver.AccountsFacadeDriver.fetch_membership
account,accounts_facade,AccountsFacade.update_profile,L5,ENTRY,accounts_facade_driver:AccountsFacadeDriver.fetch_user_by_id | accounts_facade_driver:AccountsFacadeDriver.update_user_profile | notifications_facade:NotificationsFacade.get_preferences,,2,1,4,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_user_by_id | accounts_facade_driver:AccountsFacadeDriver.update_user_profile | notifications_facade:NotificationsFacade.get_preferences,accounts_facade.AccountsFacade.update_profile → accounts_facade_driver.AccountsFacadeDriver.fetch_user_by_id → accounts_facade_driver.AccountsFacadeDriver.update_user_profile → notifications_facade.NotificationsFacade.get_preferences
account,accounts_facade,AccountsFacade.update_user_role,L5,SUPERSET,accounts_facade_driver:AccountsFacadeDriver.fetch_membership | accounts_facade_driver:AccountsFacadeDriver.fetch_membership_with_user | accounts_facade_driver:AccountsFacadeDriver.update_membership_role,,1,4,10,yes,no,no,accounts_facade_driver:AccountsFacadeDriver.fetch_membership | accounts_facade_driver:AccountsFacadeDriver.fetch_membership_with_user | accounts_facade_driver:AccountsFacadeDriver.update_membership_role,accounts_facade.AccountsFacade.update_user_role → accounts_facade_driver.AccountsFacadeDriver.fetch_membership → accounts_facade_driver.AccountsFacadeDriver.fetch_membership_with_user → accounts_facade_driver.AccountsFacadeDriver.update_membership_role
account,accounts_facade,get_accounts_facade,L5,LEAF,,,0,1,3,yes,no,no,,accounts_facade.get_accounts_facade
account,accounts_facade_driver,AccountsFacadeDriver.count_tenants,L6,LEAF,,accounts_facade:AccountsFacade.list_projects,0,1,4,yes,yes,no,,accounts_facade_driver.AccountsFacadeDriver.count_tenants
account,accounts_facade_driver,AccountsFacadeDriver.count_users,L6,LEAF,,accounts_facade:AccountsFacade.list_users,0,2,5,yes,yes,no,,accounts_facade_driver.AccountsFacadeDriver.count_users
account,accounts_facade_driver,AccountsFacadeDriver.delete_membership,L6,WRAPPER,,accounts_facade:AccountsFacade.remove_user,0,0,2,no,yes,no,,accounts_facade_driver.AccountsFacadeDriver.delete_membership
account,accounts_facade_driver,AccountsFacadeDriver.fetch_invitation_by_email,L6,LEAF,,accounts_facade:AccountsFacade.invite_user,0,0,3,no,yes,no,,accounts_facade_driver.AccountsFacadeDriver.fetch_invitation_by_email
account,accounts_facade_driver,AccountsFacadeDriver.fetch_invitation_by_id_and_token,L6,LEAF,,accounts_facade:AccountsFacade.accept_invitation,0,0,3,no,yes,no,,accounts_facade_driver.AccountsFacadeDriver.fetch_invitation_by_id_and_token
account,accounts_facade_driver,AccountsFacadeDriver.fetch_invitations,L6,LEAF,,accounts_facade:AccountsFacade.list_invitations,0,1,6,yes,yes,no,,accounts_facade_driver.AccountsFacadeDriver.fetch_invitations
account,accounts_facade_driver,AccountsFacadeDriver.fetch_membership,L6,LEAF,,accounts_facade:AccountsFacade.accept_invitation | accounts_facade:AccountsFacade.invite_user | accounts_facade:AccountsFacade.list_invitations | accounts_facade:AccountsFacade.remove_user | accounts_facade:AccountsFacade.update_user_role,0,0,3,no,yes,no,,accounts_facade_driver.AccountsFacadeDriver.fetch_membership
