domain,layer,file,symbol,signature,called_by,calls,imports,side_effects,async,lines,docstring
_models,L7,alert_config,AlertConfig.can_send_alert,can_send_alert(run_alert_count: int) -> bool,?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,is_throttled,pydantic | sqlmodel,pure,no,3,"Check if alert can be sent (not throttled, not exceeded max)."
_models,L7,alert_config,AlertConfig.email_recipients,email_recipients() -> list[str],?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,loads,pydantic | sqlmodel,pure,no,5,Get email recipients as list.
_models,L7,alert_config,AlertConfig.email_recipients,email_recipients(value: list[str]) -> None,?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,dumps,pydantic | sqlmodel,pure,no,3,Set email recipients from list.
_models,L7,alert_config,AlertConfig.enabled_channels,enabled_channels() -> list[AlertChannel],?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,AlertChannel | loads,pydantic | sqlmodel,pure,no,5,Get enabled channels as list.
_models,L7,alert_config,AlertConfig.enabled_channels,enabled_channels(value: list[AlertChannel]) -> None,?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,dumps,pydantic | sqlmodel,pure,no,3,Set enabled channels from list.
_models,L7,alert_config,AlertConfig.is_throttled,is_throttled() -> bool,?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,now | total_seconds,pydantic | sqlmodel,pure,no,6,Check if alerts are currently throttled.
_models,L7,alert_config,AlertConfig.record_alert_sent,record_alert_sent() -> None,?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,now,pydantic | sqlmodel,pure,no,4,Record that an alert was sent.
_models,L7,alert_config,AlertConfig.should_alert,should_alert(current_percentage: float) -> bool,?:alert_emitter | L4:alert_emitter | ?:test_multi_tier_alerts,,pydantic | sqlmodel,pure,no,6,Check if alert should be sent based on percentage.
_models,L7,audit_ledger,generate_uuid,generate_uuid() -> str,L7:__init__ | ?:incident_write_engine | ?:overview_facade | ?:policy_proposal | ?:logs_facade | ?:policy_rules_service | ?:policy_limits_service | L5:policy_limits_engine | L5:policy_rules_engine | L5:policy_proposal_engine,str | uuid4,postgresql | sqlalchemy | sqlmodel,pure,no,3,Generate a UUID string (PIN-413).
_models,L7,audit_ledger,utc_now,utc_now() -> datetime,L7:__init__ | ?:incident_write_engine | ?:overview_facade | ?:policy_proposal | ?:logs_facade | ?:policy_rules_service | ?:policy_limits_service | L5:policy_limits_engine | L5:policy_rules_engine | L5:policy_proposal_engine,now,postgresql | sqlalchemy | sqlmodel,pure,no,3,Return current UTC time (PIN-413).
_models,L7,contract,ContractCreate.validate_confidence,validate_confidence(v: Decimal) -> Decimal,?:founder_contract_review | L7:__init__ | ?:founder_review | ?:rollout_projection | ?:contract_service | ?:audit_service | ?:governance_orchestrator | ?:llm_invoke_v2 | ?:json_transform_v2 | L3:claude_adapter,ValueError | field_validator,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,5,"CONTRACT-007: confidence_score range [0,1]."
_models,L7,contract,ContractImmutableError.__init__,"__init__(contract_id: UUID, status: ContractStatus)",?:founder_contract_review | L7:__init__ | ?:founder_review | ?:rollout_projection | ?:contract_service | ?:audit_service | ?:governance_orchestrator | ?:llm_invoke_v2 | ?:json_transform_v2 | L3:claude_adapter,__init__ | super,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,4,
_models,L7,contract,InvalidTransitionError.__init__,"__init__(from_status: ContractStatus, to_status: ContractStatus, reason: str)",?:founder_contract_review | L7:__init__ | ?:founder_review | ?:rollout_projection | ?:contract_service | ?:audit_service | ?:governance_orchestrator | ?:llm_invoke_v2 | ?:json_transform_v2 | L3:claude_adapter,__init__ | super,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,10,
_models,L7,contract,MayNotVerdictError.__init__,__init__(reason: str),?:founder_contract_review | L7:__init__ | ?:founder_review | ?:rollout_projection | ?:contract_service | ?:audit_service | ?:governance_orchestrator | ?:llm_invoke_v2 | ?:json_transform_v2 | L3:claude_adapter,__init__ | super,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,3,
_models,L7,costsim_cb,CostSimAlertQueueModel.to_dict,"to_dict() -> Dict[str, Any]",L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,isoformat,orm | postgresql | sqlalchemy,pure,no,14,Convert to dictionary.
_models,L7,costsim_cb,CostSimCBIncidentModel.get_details,"get_details() -> Dict[str, Any]",L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,loads,orm | postgresql | sqlalchemy,pure,no,5,Parse details JSON.
