domain,layer,folder,filename,rel_path,lines,purpose,functions,fn_count,async_count,classes,cls_count,calls_l5,calls_l5_schema,calls_l6,calls_l7,cross_domain,external_deps,called_by,caller_layers,header_callers,header_allowed_imports,header_forbidden_imports,linkage_chain,disposition
_models,L7,models,alert_config,backend/app/models/alert_config.py,188,Configure alerting behavior for near-threshold events,,0,0,AlertChannel | AlertConfig | AlertConfigCreate | AlertConfigUpdate | AlertConfigResponse,5,,,,,,pydantic | sqlmodel,L4:alert_emitter | ?:alert_emitter | ?:test_multi_tier_alerts,? + L4,"services/alert_emitter.py, api/policy_alerts.py","L5, L6","L1, L2, L3",? + L4 → THIS(L7),
_models,L7,models,audit_ledger,backend/app/models/audit_ledger.py,145,Audit Ledger model for Logs domain (PIN-413),utc_now | generate_uuid,2,0,ActorType | AuditEntityType | AuditEventType | AuditLedger,4,,,,,,postgresql | sqlalchemy | sqlmodel,L5:incident_write_engine | L5:audit_ledger_service | L6:audit_ledger_service_async | L6:logs_domain_store | L6:overview_facade_driver | L5:policy_limits_engine | L5:policy_proposal_engine | L5:policy_rules_engine | L7:__init__ | ?:incident_write_engine,? + L5 + L6 + L7,runtime_projections/logs/*,None (foundational),"L1, L2, L3, L4, L5",? + L5 + L6 + L7 → THIS(L7),
_models,L7,models,contract,backend/app/models/contract.py,587,System Contract database models,,0,0,ContractStatus | AuditVerdict | RiskLevel | ProposedChangeType | ContractSource | SystemContract | ProposedChangeBase | CapabilityEnableChange | CapabilityDisableChange | ConfigurationUpdateChange | ParameterChangeChange | ValidatorVerdictData | EligibilityVerdictData | TransitionRecord | ContractCreate | ContractResponse | ContractApproval | ContractRejection | InvalidTransitionError | ContractImmutableError | MayNotVerdictError,21,,,,costsim_cb,,postgresql | pydantic | sqlalchemy,?:founder_contract_review | L5:audit_engine | ?:founder_review | L4:contract_engine | L4:governance_orchestrator | ?:http_call_v2 | ?:json_transform_v2 | ?:llm_invoke_v2 | ?:claude_adapter | L7:__init__,? + L3 + L4 + L5 + L7,"governance/*, L4 domain services",None (foundational),"L1, L2, L3, L4, L5",? + L4 + L5 + L7 → THIS(L7) → L7,
_models,L7,models,costsim_cb,backend/app/models/costsim_cb.py,355,CostSim circuit breaker models,,0,0,CostSimCBStateModel | CostSimCBIncidentModel | CostSimProvenanceModel | CostSimCanaryReportModel | CostSimAlertQueueModel,5,,,,,,orm | postgresql | sqlalchemy,?:alert_worker | ?:circuit_breaker_async | ?:provenance_async | L6:provenance_async | L6:circuit_breaker_async | L4:alert_driver | L7:__init__ | L7:contract | L7:execution_envelope | L7:external_response,? + L4 + L6 + L7,costsim/*,None (foundational),"L1, L2, L3, L4, L5",? + L4 + L6 + L7 → THIS(L7),
_models,L7,models,cus_models,backend/app/models/cus_models.py,410,Customer integration data models,utc_now | generate_uuid,2,0,CusProviderType | CusIntegrationStatus | CusHealthState | CusPolicyResult | CusIntegration | CusLLMUsage | CusUsageDaily,7,,,,,,postgresql | sqlalchemy | sqlmodel,L5:cus_health_engine | L5s:cus_schemas | ?:cus_schemas | ?:cus_enforcement_driver | ?:cus_health_driver | ?:cus_health_engine | ?:cus_integration_driver | ?:cus_integration_engine | ?:cus_telemetry_driver | ?:cus_health_check,? + L5 + L5s,"cus_* services, cus_* APIs",None (foundational),"L1, L2, L3, L4, L5",? + L5 + L5s → THIS(L7),
_models,L7,models,execution_envelope,backend/app/models/execution_envelope.py,226,Execution envelope models for implicit authority hardening,,0,0,ExecutionEnvelopeModel | ExecutionEnvelopeStats,2,,,,costsim_cb,,postgresql | sqlalchemy,?:evidence_sink | ?:invocation_context | ?:kernel | L5:kernel | ?:test_execution_envelope,? + L5,"auth/execution_envelope.py, worker/*",None (foundational),"L1, L2, L3, L4, L5",? + L5 → THIS(L7) → L7,
_models,L7,models,export_bundles,backend/app/models/export_bundles.py,264,"Structured export bundle models for SOC2, evidence, and executive debrief",utc_now | generate_bundle_id,2,0,TraceStepEvidence | PolicyContext | EvidenceBundle | SOC2ControlMapping | SOC2Bundle | ExecutiveDebriefBundle | ExportBundleRequest | ExportBundleResponse,8,,,,,,pydantic,L6:export_bundle_driver | L5:pdf_renderer | L3:export_bundle_adapter | L7:__init__ | ?:export_bundle_service | ?:pdf_renderer | ?:test_export_scope_resolution,? + L3 + L5 + L6 + L7,"services/export_bundle_service.py, services/pdf_renderer.py",None (foundational),"L1, L2, L3, L4, L5",? + L3 + L5 + L6 + L7 → THIS(L7),
_models,L7,models,external_response,backend/app/models/external_response.py,188,External response data models (DB tables),,0,0,ExternalResponse | ExternalResponseCreate | InterpretationUpdate | ExternalResponseRead | InterpretedResponse,5,,,,costsim_cb,,postgresql | pydantic | sql | sqlalchemy,L6:external_response_driver | ?:external_response_service | L7:__init__,? + L6 + L7,"L3 adapters (write raw), L4 engines (read/interpret)",None (foundational),"L1, L2, L3, L4, L5",? + L6 + L7 → THIS(L7) → L7,
_models,L7,models,feedback,backend/app/models/feedback.py,110,Feedback data models,,0,0,PatternFeedback | PatternFeedbackCreate | PatternFeedbackResponse,3,,,,,,orm | postgresql | pydantic | sql | sqlalchemy,?:071_create_signal_feedback | ?:feedback | L2:feedback | ?:main | L5:pattern_detection | L6:pattern_detection_driver | L6:prediction_driver | L6:policy_proposal_read_driver | ?:__init__ | ?:pattern_detection,? + L2 + L5 + L6,"feedback API, services",None (foundational),"L1, L2, L3, L4, L5",? + L2 + L5 + L6 → THIS(L7),
_models,L7,models,governance,backend/app/models/governance.py,148,Governance signal data models (DB tables),,0,0,GovernanceSignal | GovernanceSignalCreate | GovernanceSignalResponse | GovernanceSignalQuery | GovernanceCheckResult,5,,,,costsim_cb,,postgresql | pydantic | sql | sqlalchemy,L3:founder_contract_review_adapter | ?:schema | ?:validator | ?:embedding | ?:founder_contract_review | ?:governance | ?:logs | ?:__init__ | ?:reactor_initializer | ?:decorator,? + L2 + L3 + L4 + L5 + L6 + L7,"governance/*, L4 orchestrators, L5 executors",None (foundational),"L1, L2, L3, L4, L5",? + L3 → THIS(L7) → L7,
_models,L7,models,governance_job,backend/app/models/governance_job.py,380,Governance Job database models,,0,0,JobStatus | StepStatus | GovernanceJob | JobStep | StepResult | HealthSnapshot | JobCreate | JobResponse | JobTransitionRecord | InvalidJobTransitionError | JobImmutableError | OrphanJobError,12,,,,costsim_cb,,postgresql | pydantic | sqlalchemy,L4:job_executor | L4:governance_orchestrator | L7:__init__ | ?:governance_orchestrator | ?:job_executor | ?:test_executor_invariants | ?:test_orchestrator_invariants,? + L4 + L7,"governance/*, L4 domain services",None (foundational),"L1, L2, L3, L4, L5",? + L4 + L7 → THIS(L7) → L7,
_models,L7,models,killswitch,backend/app/models/killswitch.py,659,Killswitch data models,utc_now | generate_uuid,2,0,EntityType | TriggerType | IncidentSeverity | IncidentStatus | IncidentLifecycleState | IncidentCauseType | GuardrailAction | GuardrailCategory | KillSwitchState | ProxyCall | Incident | IncidentEvent | DefaultGuardrail | KillSwitchStatus | KillSwitchAction | IncidentSummary | IncidentDetail | GuardrailSummary | ProxyCallSummary | ProxyCallDetail | ReplayRequest | ReplayResult | DemoSimulationRequest | DemoSimulationResult,24,,,,,,pydantic | sqlmodel,L3:customer_killswitch_adapter | ?:guard | ?:incidents | ?:ops | ?:replay | ?:v1_killswitch | ?:v1_proxy | L2:incidents | L2:guard | L2:replay,? + L2 + L3 + L4 + L5 + L6,"killswitch API, services",None (foundational),"L1, L2, L3, L4, L5",? + L2 + L3 → THIS(L7),
