domain,file,symbol,layer,classification,evidence,action
# ============================================================
# UNUSED CODE AUDIT — hoc/cus/ scope only
# Renamed from DEAD_CODE_AUDIT.csv (PIN-513 Phase 7, 2026-02-01)
# Terminology: "dead code" → "unused code". These are unwired, not dead.
# Scope: hoc/cus/* only. hoc/int/, hoc/fdr/, hoc/duplicate/ excluded.
# hoc/duplicate/ is DEPRECATED (see DEPRECATED.md).
# ============================================================
# CATEGORY 1: REDUNDANT — Logic superseded by canonical equivalent
# Action: Delete superseded version, rewire callers
# ============================================================
controls,controls/L5_engines/customer_killswitch_read_engine.py,CustomerKillswitchReadService,L5,REDUNDANT,Every method delegates to killswitch_read_driver (L6). L6 driver marked CANONICAL in bible. Zero business logic in L5 wrapper.,DELETE + rewire adapter
controls,controls/adapters/customer_killswitch_adapter.py,_get_read_service,adapters,REDUNDANT_CALLER,Imports superseded CustomerKillswitchReadService. Should import KillswitchReadDriver directly.,REWIRE to L6 driver
analytics,analytics/L5_engines/cost_write_engine.py,CostWriteEngine,L5,DELETED,Zero-logic passthrough — no decision boundary. Deleted Batch 4 Phase 5.,DELETED 2026-02-01
# ============================================================
# CATEGORY 2: RESOLVED — Previously LEGACY_ORPHAN, now built in HOC
# Reference: PIN-513 Phase 7 (2026-02-01)
# ============================================================
services,app/services/founder_action_write_service.py,FounderActionWriteService,legacy,RESOLVED,HOC equivalent built: hoc/fdr/ops/engines/founder_action_write_service.py. Import severed.,PIN-513 Phase 7 Step 7
services,app/services/platform/platform_health_service.py,PlatformHealthService,legacy,RESOLVED,HOC equivalent built: hoc/int/platform/engines/platform_health_engine.py + L6 driver. Import severed.,PIN-513 Phase 7 Step 4
services,app/services/ops_incident_service.py,OpsIncidentService,legacy,RESOLVED,HOC equivalent exists: hoc/fdr/ops/engines/ops_incident_service.py. Import severed.,PIN-513 Phase 7 Step 5b
services,app/services/ops_domain_models.py,ops_domain_models,legacy,RESOLVED,HOC equivalent exists: hoc/fdr/ops/schemas/ops_domain_models.py. Import severed.,PIN-513 Phase 7 Step 3
# ============================================================
# CATEGORY 3: BOUNDARY_VIOLATION — services→HOC imports (reverse direction)
# These are in app/services/ not hoc/cus/. Tracked here for completeness.
# Action: Migrate service to HOC or create shim
# ============================================================
services,app/services/limits/policy_limits_service.py,AuditLedgerServiceAsync import,legacy,BOUNDARY_VIOLATION,Legacy imports from hoc/cus/logs/L6_drivers/audit_ledger_driver. Forward dependency.,MIGRATE service to HOC or create shim
services,app/services/limits/policy_rules_service.py,AuditLedgerServiceAsync import,legacy,BOUNDARY_VIOLATION,Legacy imports from hoc/cus/logs/L6_drivers/audit_ledger_driver. Forward dependency.,MIGRATE service to HOC or create shim
services,app/services/incident_write_engine.py,AuditLedgerService import,legacy,BOUNDARY_VIOLATION,Legacy imports from hoc/cus/logs/L5_engines/audit_ledger_engine. Forward dependency.,MIGRATE service to HOC
services,app/services/policy_proposal.py,AuditLedgerServiceAsync import,legacy,BOUNDARY_VIOLATION,Legacy imports from hoc/cus/logs/L6_drivers/audit_ledger_driver. Forward dependency.,MIGRATE service to HOC or create shim
services,app/services/policy/lessons_engine.py,get_lessons_learned_engine import,legacy,BOUNDARY_VIOLATION,Legacy imports from hoc/cus/policies/L5_engines/lessons_engine. Duplicate — HOC is canonical.,DELETE legacy file
services,app/services/detection/facade.py,get_anomaly_incident_coordinator import,legacy,BOUNDARY_VIOLATION,Legacy imports FROM hoc_spine coordinator. Circular: services→HOC. Most dangerous violation.,EXTRACT coordinator call to shim or migrate facade
# ============================================================
